Mt,Mh_stable
100,16.7183
102,19.0353
104,21.4066
106,23.8316
108,26.311
110,28.8451
112,31.4349
114,34.0802
116,36.7819
118,39.5403
120,42.3554
122,45.2279
124,48.1581
126,51.146
128,54.1922
130,57.2965
132,60.4594
134,63.6806
136,66.9604
138,70.2984
140,73.6947
142,77.1486
144,80.6598
146,84.2277
148,87.8515
150,91.5302
152,95.2625
154,99.0469
156,102.882
158,106.765
160,110.693
162,114.665
164,118.675
166,122.721
168,126.798
170,130.899
172,135.02
174,139.152
176,143.287
178,147.417
180,151.531
182,155.598
184,159.591
186,163.511
188,167.361
190,171.141
192,174.854
194,178.5
196,182.081
198,185.599
200,189.055
202,192.452
204,195.792
206,199.08
208,202.318
210,205.513
212,208.672
214,211.805
216,214.922
218,218.025
220,221.114
222,224.191
224,227.257
226,230.311
228,233.355
230,236.39
232,239.415
234,242.431
236,245.438
238,248.438
240,251.43
242,254.414
244,257.39
246,260.36
248,263.323
250,266.28
