Mt,Mh_calc,Stability,S_approx
41.5,209,4,-1
41.5,209.25,4,-1
41.5,209.5,4,-1
41.5,209.75,4,-1
41.5,210,4,-1
41.5,210.25,4,-1
41.5,210.5,4,-1
41.5,210.75,4,-1
41.5,211,4,-1
41.5,211.25,4,-1
41.5,211.5,4,-1
41.5,211.75,4,-1
41.5,212,4,-1
41.5,212.25,4,-1
41.5,212.5,4,-1
41.5,212.75,4,-1
41.5,213,4,-1
41.5,213.25,4,-1
41.5,213.5,4,-1
41.5,213.75,4,-1
41.5,214,4,-1
41.5,214.25,4,-1
41.5,214.5,4,-1
41.5,214.75,4,-1
41.5,215,4,-1
41.5,215.25,4,-1
41.5,215.5,4,-1
41.5,215.75,4,-1
41.5,216,4,-1
41.5,216.25,4,-1
41.5,216.5,4,-1
41.5,216.75,4,-1
41.5,217,4,-1
41.5,217.25,4,-1
41.5,217.5,4,-1
41.5,217.75,4,-1
41.5,218,4,-1
41.5,218.25,4,-1
41.5,218.5,4,-1
41.5,218.75,4,-1
41.5,219,4,-1
41.5,219.25,4,-1
41.5,219.5,4,-1
41.5,219.75,4,-1
41.5,220,4,-1
41.5,220.25,4,-1
41.5,220.5,4,-1
41.5,220.75,4,-1
41.5,221,4,-1
41.5,221.25,4,-1
41.5,221.5,4,-1
41.5,221.75,4,-1
41.5,222,4,-1
41.5,222.25,4,-1
41.5,222.5,4,-1
41.5,222.75,4,-1
41.5,223,4,-1
41.5,223.25,4,-1
41.5,223.5,4,-1
41.5,223.75,4,-1
41.5,224,4,-1
41.5,224.25,4,-1
41.5,224.5,4,-1
41.5,224.75,4,-1
41.5,225,4,-1
41.5,225.25,4,-1
41.5,225.5,4,-1
41.5,225.75,4,-1
41.5,226,4,-1
41.5,226.25,4,-1
41.5,226.5,4,-1
41.5,226.75,4,-1
41.5,227,4,-1
41.5,227.25,4,-1
41.5,227.5,4,-1
41.5,227.75,4,-1
41.5,228,4,-1
41.5,228.25,4,-1
41.5,228.5,4,-1
41.5,228.75,4,-1
41.5,229,4,-1
41.5,229.25,4,-1
41.5,229.5,4,-1
41.5,229.75,4,-1
41.5,230,4,-1
41.5,230.25,4,-1
41.5,230.5,4,-1
41.5,230.75,4,-1
41.5,231,4,-1
41.5,231.25,4,-1
41.5,231.5,4,-1
41.5,231.75,4,-1
41.5,232,4,-1
41.5,232.25,4,-1
41.5,232.5,4,-1
41.5,232.75,4,-1
41.5,233,4,-1
41.5,233.25,4,-1
41.5,233.5,4,-1
41.5,233.75,4,-1
41.5,234,4,-1
41.5,234.25,4,-1
41.5,234.5,4,-1
41.5,234.75,4,-1
41.5,235,4,-1
41.5,235.25,4,-1
41.5,235.5,4,-1
41.5,235.75,4,-1
41.5,236,4,-1
41.5,236.25,4,-1
41.5,236.5,4,-1
41.5,236.75,4,-1
41.5,237,4,-1
41.5,237.25,4,-1
41.5,237.5,4,-1
41.5,237.75,4,-1
41.5,238,4,-1
41.5,238.25,4,-1
41.5,238.5,4,-1
41.5,238.75,4,-1
41.5,239,4,-1
41.5,239.25,4,-1
41.5,239.5,4,-1
41.5,239.75,4,-1
41.5,240,4,-1
41.5,240.25,4,-1
41.5,240.5,4,-1
41.5,240.75,4,-1
41.5,241,4,-1
41.5,241.25,4,-1
41.5,241.5,4,-1
41.5,241.75,4,-1
41.5,242,4,-1
41.5,242.25,4,-1
41.5,242.5,4,-1
41.5,242.75,4,-1
41.5,243,4,-1
41.5,243.25,4,-1
41.5,243.5,4,-1
41.5,243.75,4,-1
41.5,244,4,-1
41.5,244.25,4,-1
41.5,244.5,4,-1
41.5,244.75,4,-1
41.5,245,4,-1
41.5,245.25,4,-1
41.5,245.5,4,-1
41.5,245.75,4,-1
41.5,246,4,-1
41.5,246.25,4,-1
41.5,246.5,4,-1
41.5,246.75,4,-1
41.5,247,4,-1
41.5,247.25,4,-1
41.5,247.5,4,-1
41.5,247.75,4,-1
41.5,248,4,-1
41.5,248.25,4,-1
41.5,248.5,4,-1
41.5,248.75,4,-1
41.5,249,4,-1
41.5,249.25,4,-1
41.5,249.5,4,-1
41.5,249.75,4,-1
41.5,250,4,-1
41.75,0,1,-1
41.75,0.25,1,-1
41.75,0.5,1,-1
41.75,0.75,1,-1
41.75,1,1,-1
41.75,1.25,1,-1
41.75,1.5,1,-1
41.75,1.75,1,-1
41.75,2,1,-1
41.75,2.25,1,-1
41.75,2.5,1,-1
41.75,2.75,1,-1
41.75,3,1,-1
41.75,3.25,1,-1
41.75,3.5,1,-1
41.75,3.75,1,-1
41.75,4,1,-1
41.75,4.25,1,-1
41.75,4.5,1,-1
41.75,4.75,1,-1
41.75,5,1,-1
41.75,5.25,1,-1
41.75,5.5,1,-1
41.75,5.75,1,-1
41.75,6,1,-1
41.75,6.25,1,-1
41.75,6.5,1,-1
41.75,6.75,1,-1
41.75,7,1,-1
41.75,7.25,1,-1
41.75,7.5,1,-1
41.75,7.75,1,-1
41.75,8,1,-1
41.75,8.25,1,-1
41.75,8.5,1,-1
