Mt,Mh_calc,Stability,S_approx
166.0,118.023,1,-1.0
166.0,118.072,1,-1.0
166.0,118.122,1,-1.0
166.0,118.171,1,-1.0
166.0,118.221,1,-1.0
166.0,118.27,1,-1.0
166.0,118.32,1,-1.0
166.0,118.37,1,-1.0
166.0,118.419,1,-1.0
166.0,118.469,1,-1.0
166.0,118.518,1,-1.0
166.0,118.568,1,-1.0
166.0,118.617,1,-1.0
166.0,118.667,1,-1.0
166.0,118.717,1,-1.0
166.0,118.766,1,-1.0
166.0,118.816,1,-1.0
166.0,118.865,1,-1.0
166.0,118.915,1,-1.0
166.0,118.964,1,-1.0
166.0,119.014,1,-1.0
166.0,119.064,1,-1.0
166.0,119.113,1,-1.0
166.0,119.163,1,-1.0
166.0,119.212,1,-1.0
166.0,119.262,1,-1.0
166.0,119.311,1,-1.0
166.0,119.361,1,-1.0
166.0,119.411,1,-1.0
166.0,119.46,1,-1.0
166.0,119.51,1,-1.0
166.0,119.559,1,-1.0
166.0,119.609,1,-1.0
166.0,119.658,1,-1.0
166.0,119.708,1,-1.0
166.0,119.758,1,-1.0
166.0,119.807,1,-1.0
166.0,119.857,1,-1.0
166.0,119.906,1,-1.0
166.0,119.956,1,-1.0
166.0,120.006,1,-1.0
166.0,120.055,1,-1.0
166.0,120.105,1,-1.0
166.0,120.154,1,-1.0
166.0,120.204,1,-1.0
166.0,120.253,1,-1.0
166.0,120.303,1,-1.0
166.0,120.353,1,-1.0
166.0,120.402,1,-1.0
166.0,120.452,1,-1.0
166.0,120.501,1,-1.0
166.0,120.551,1,-1.0
166.0,120.601,1,-1.0
166.0,120.65,1,-1.0
166.0,120.7,1,-1.0
166.0,120.749,1,-1.0
166.0,120.799,1,-1.0
166.0,120.848,1,-1.0
166.0,120.898,1,-1.0
166.0,120.948,1,-1.0
166.0,120.997,1,-1.0
166.0,121.047,1,-1.0
166.0,121.096,1,-1.0
166.0,121.146,1,-1.0
166.0,121.196,1,-1.0
166.0,121.245,1,-1.0
166.0,121.295,1,-1.0
166.0,121.344,1,-1.0
166.0,121.394,1,-1.0
166.0,121.444,1,-1.0
166.0,121.493,1,-1.0
166.0,121.543,1,-1.0
166.0,121.592,1,-1.0
166.0,121.642,1,-1.0
166.0,121.691,1,-1.0
166.0,121.741,1,-1.0
166.0,121.791,1,-1.0
166.0,121.84,1,-1.0
166.0,121.89,1,-1.0
166.0,121.939,1,-1.0
166.0,121.989,1,-1.0
166.0,122.039,1,-1.0
166.0,122.088,1,-1.0
166.0,122.138,1,-1.0
166.0,122.187,1,-1.0
166.0,122.237,1,-1.0
166.0,122.287,1,-1.0
166.0,122.336,1,-1.0
166.0,122.386,1,-1.0
166.0,122.435,1,-1.0
166.0,122.485,1,-1.0
166.0,122.535,1,-1.0
166.0,122.584,1,-1.0
166.0,122.634,1,-1.0
166.0,122.683,1,-1.0
166.0,122.733,1,-1.0
166.0,122.783,1,-1.0
166.0,122.832,1,-1.0
166.0,122.882,1,-1.0
166.0,122.931,1,-1.0
166.0,122.981,1,-1.0
166.0,123.031,1,-1.0
166.0,123.08,1,-1.0
166.0,123.13,1,-1.0
166.0,123.179,1,-1.0
166.0,123.229,1,-1.0
166.0,123.279,1,-1.0
166.0,123.328,1,-1.0
166.0,123.378,1,-1.0
166.0,123.427,1,-1.0
166.0,123.477,1,-1.0
166.0,123.527,1,-1.0
166.0,123.576,1,-1.0
166.0,123.626,1,-1.0
166.0,123.675,1,-1.0
166.0,123.725,1,-1.0
166.0,123.775,1,-1.0
166.0,123.824,1,-1.0
166.0,123.874,1,-1.0
166.0,123.923,1,-1.0
166.0,123.973,1,-1.0
166.0,124.023,1,-1.0
166.0,124.072,1,-1.0
166.0,124.122,1,-1.0
166.0,124.172,1,-1.0
166.0,124.221,1,-1.0
166.0,124.271,1,-1.0
166.0,124.32,1,-1.0
166.0,124.37,1,-1.0
166.0,124.42,1,-1.0
166.0,124.469,1,-1.0
166.0,124.519,1,-1.0
166.0,124.568,1,-1.0
166.0,124.618,1,-1.0
166.0,124.668,1,-1.0
166.0,124.717,1,-1.0
166.0,124.767,1,-1.0
166.0,124.816,1,-1.0
166.0,124.866,1,-1.0
166.0,124.916,1,-1.0
166.0,124.965,1,-1.0
166.0,125.015,1,-1.0
166.0,125.065,1,-1.0
166.0,125.114,1,-1.0
166.0,125.164,1,-1.0
166.0,125.213,1,-1.0
166.0,125.263,1,-1.0
166.0,125.313,1,-1.0
166.0,125.362,1,-1.0
166.0,125.412,1,-1.0
166.0,125.461,1,-1.0
166.0,125.511,1,-1.0
166.0,125.561,1,-1.0
166.0,125.61,1,-1.0
166.0,125.66,1,-1.0
166.0,125.71,1,-1.0
166.0,125.759,1,-1.0
166.0,125.809,1,-1.0
166.0,125.858,1,-1.0
166.0,125.908,1,-1.0
166.0,125.958,1,-1.0
166.0,126.007,1,-1.0
166.0,126.057,1,-1.0
166.0,126.106,1,-1.0
166.0,126.156,1,-1.0
166.0,126.206,1,-1.0
166.0,126.255,1,-1.0
166.0,126.305,1,-1.0
166.0,126.355,1,-1.0
166.0,126.404,1,-1.0
166.0,126.454,1,-1.0
166.0,126.503,1,-1.0
166.0,126.553,1,-1.0
166.0,126.603,1,-1.0
166.0,126.652,1,-1.0
166.0,126.702,1,-1.0
166.0,126.752,1,-1.0
166.0,126.801,1,-1.0
166.0,126.851,1,-1.0
166.0,126.9,1,-1.0
166.0,126.95,1,-1.0
166.0,127.0,1,-1.0
166.0,127.049,1,-1.0
166.0,127.099,1,-1.0
166.0,127.149,1,-1.0
166.0,127.198,1,-1.0
166.0,127.248,1,-1.0
166.0,127.297,1,-1.0
166.0,127.347,1,-1.0
166.0,127.397,1,-1.0
166.0,127.446,1,-1.0
166.0,127.496,1,-1.0
166.0,127.546,1,-1.0
166.0,127.595,1,-1.0
166.0,127.645,1,-1.0
166.0,127.695,1,-1.0
166.0,127.744,1,-1.0
166.0,127.794,1,-1.0
166.0,127.843,1,-1.0
166.0,127.893,1,-1.0
166.0,127.943,1,-1.0
166.0,127.992,1,-1.0
166.0,128.042,1,-1.0
166.0,128.092,1,-1.0
166.0,128.141,1,-1.0
166.0,128.191,1,-1.0
166.0,128.24,1,-1.0
166.0,128.29,1,-1.0
166.0,128.34,1,-1.0
166.0,128.389,1,-1.0
166.0,128.439,1,-1.0
166.0,128.489,1,-1.0
166.0,128.538,1,-1.0
166.0,128.588,1,-1.0
166.0,128.638,1,-1.0
166.0,128.687,1,-1.0
166.0,128.737,1,-1.0
166.0,128.786,1,-1.0
166.0,128.836,1,-1.0
166.0,128.886,1,-1.0
166.0,128.935,1,-1.0
166.0,128.985,1,-1.0
166.0,129.035,1,-1.0
