Mt,Mh_abs,Mh_c6_0,Mh_c6_0_1,Mh_c6_1_0
165.00000,111.99686,73.68985,73.68985,73.68985
165.20000,112.40068,74.45702,74.45702,74.45702
165.40000,112.80486,75.22008,75.22008,75.22008
165.60000,113.20964,75.94100,75.94100,75.94100
165.80000,113.61501,76.69762,76.69762,76.69762
166.00000,114.02079,77.45048,77.45048,77.45048
166.20000,114.42712,78.20013,78.20013,78.20013
166.40000,114.83392,78.94662,78.94662,78.94662
166.60000,115.24120,79.68965,79.68965,79.68965
166.80000,115.64907,80.42917,80.42917,80.42917
167.00000,116.05737,81.13328,81.13328,81.13328
167.20000,116.46613,81.86641,81.86641,81.86641
167.40000,116.87544,82.59895,82.59895,82.59895
167.60000,117.28528,83.32780,83.32780,83.32780
167.80000,117.69554,84.06571,84.06571,84.06571
168.00000,118.10622,84.78937,84.78937,84.78937
168.20000,118.51749,85.51094,85.51094,85.51094
168.40000,118.92918,86.19699,86.19699,86.19699
168.60000,119.34128,86.91409,86.91409,86.91409
168.80000,119.75399,87.62881,87.62881,87.62881
169.00000,120.16705,88.34174,88.34174,88.34174
169.20000,120.58064,89.06212,89.06212,89.06212
169.40000,120.99460,89.76027,89.76027,89.76027
169.60000,121.40915,90.46635,90.46635,90.46635
169.80000,121.82394,91.18041,91.18041,91.18041
170.00000,122.23932,91.88274,91.88274,91.88274
170.20000,122.65506,92.58267,92.58267,92.58267
170.40000,123.07140,93.28112,93.28112,93.28112
170.60000,123.48798,93.95847,93.95847,93.95847
170.80000,123.90515,94.67259,94.67259,94.67259
171.00000,124.32262,95.37491,95.37491,95.37491
171.20000,124.74057,96.06621,96.06621,96.06621
171.40000,125.15894,96.75607,96.75607,96.75607
171.60000,125.57760,97.44307,97.44307,97.44307
171.80000,125.99674,98.13073,98.13073,98.13073
172.00000,126.41630,98.82447,98.82447,98.82447
172.20000,126.83627,99.50784,99.50784,99.50784
172.40000,127.25666,100.19711,100.19711,100.19711
172.60000,127.67735,100.87112,100.87112,100.87112
172.80000,128.09852,101.55788,101.55788,101.55788
173.00000,128.51998,102.23547,102.23547,102.23547
173.20000,128.94186,102.91341,102.91341,102.91341
173.40000,129.36410,103.59278,103.59278,103.59278
173.60000,129.78670,104.28050,104.28050,104.28050
173.80000,130.20959,104.94092,104.94092,104.94092
174.00000,130.63285,105.62280,105.62280,105.62280
174.20000,131.05658,106.30789,106.30789,106.30789
174.40000,131.48054,106.98184,106.98184,106.98184
174.60000,131.90487,107.64953,107.64953,107.64953
174.80000,132.32955,108.32301,108.32301,108.32301
175.00000,132.75453,108.98891,108.98891,108.98891
175.20000,133.17946,109.65922,109.65922,109.65922
175.40000,133.60420,110.34390,110.34390,110.34390
175.60000,134.02864,111.00528,111.00528,111.00528
175.80000,134.45285,111.67285,111.67285,111.67285
176.00000,134.87682,112.33202,112.33202,112.33202
176.20000,135.30055,113.00710,113.00710,113.00710
176.40000,135.72404,113.67515,113.67515,113.67515
176.60000,136.14735,114.33807,114.33807,114.33807
176.80000,136.57036,114.99301,114.99301,114.99301
177.00000,136.99314,115.65384,115.65384,115.65384
177.20000,137.41574,116.32660,116.32660,116.32654
177.40000,137.83810,116.98148,116.98148,116.98148
177.60000,138.26016,117.65507,117.65507,117.65507
177.80000,138.68204,118.31120,118.31120,118.31120
178.00000,139.10368,118.96631,118.96631,118.96625
178.20000,139.52509,119.61409,119.61409,119.61392
178.40000,139.94631,120.28566,120.28560,120.28536
178.60000,140.36724,120.93785,120.93785,120.93785
178.80000,140.78799,121.59953,121.59953,121.59953
179.00000,141.20850,122.24540,122.24540,122.24540
179.20000,141.62877,122.89998,122.89998,122.89616
179.40000,142.04881,123.55396,123.55396,123.55396
179.60000,142.46860,124.20931,124.20931,124.20931
179.80000,142.88822,124.86014,124.86014,124.86014
180.00000,143.30760,125.52658,125.52658,125.52145
