Mt,Mh_calc,Stability,S_exact,S_approx
170,100.06,2,545.076,544.846
170,100.11,2,546.059,545.827
170,100.16,2,547.047,546.817
170,100.21,2,548.039,547.807
170,100.26,2,549.036,548.805
170,100.31,2,550.037,549.806
170,100.36,2,551.043,550.807
170,100.41,2,552.054,551.818
170,100.46,2,553.069,552.836
170,100.51,2,554.089,553.856
170,100.56,2,555.114,554.878
170,100.61,2,556.144,555.908
170,100.66,2,557.178,556.944
170,100.71,2,558.217,557.981
170,100.76,2,559.262,559.025
170,100.81,2,560.311,560.075
170,100.86,2,561.365,561.129
170,100.91,2,562.425,562.184
170,100.96,2,563.489,563.25
170,101.01,2,564.558,564.316
170,101.06,2,565.633,565.391
170,101.11,2,566.713,566.471
170,101.16,2,567.798,567.554
170,101.21,2,568.888,568.644
170,101.259,2,569.983,569.739
170,101.309,2,571.084,570.841
170,101.359,2,572.19,571.947
170,101.409,2,573.302,573.058
170,101.459,2,574.419,574.173
170,101.509,2,575.541,575.297
170,101.559,2,576.669,576.426
170,101.609,2,577.803,577.556
170,101.659,2,578.942,578.694
170,101.709,2,580.087,579.839
170,101.759,2,581.237,580.989
170,101.809,2,582.394,582.147
170,101.859,2,583.556,583.309
170,101.909,2,584.724,584.472
170,101.959,2,585.897,585.646
170,102.009,2,587.077,586.825
170,102.059,2,588.262,588.011
170,102.109,2,589.454,589.204
170,102.159,2,590.652,590.4
170,102.209,2,591.855,591.602
170,102.259,2,593.065,592.81
170,102.309,2,594.281,594.025
170,102.359,2,595.504,595.247
170,102.409,2,596.732,596.475
170,102.459,2,597.967,597.711
170,102.509,2,599.208,598.951
170,102.559,2,600.456,600.199
170,102.609,2,601.71,601.455
170,102.659,2,602.971,602.711
170,102.709,2,604.238,603.978
170,102.759,2,605.512,605.252
170,102.809,2,606.793,606.531
170,102.859,2,608.08,607.818
170,102.909,2,609.374,609.111
170,102.959,2,610.675,610.411
170,103.008,2,611.983,611.719
170,103.058,2,613.298,613.033
170,103.108,2,614.62,614.355
170,103.158,2,615.949,615.683
170,103.208,2,617.285,617.018
170,103.258,2,618.629,618.361
170,103.308,2,619.979,619.71
170,103.358,2,621.337,621.068
170,103.408,2,622.703,622.435
170,103.458,2,624.075,623.808
170,103.508,2,625.456,625.188
170,103.558,2,626.843,626.573
170,103.608,2,628.239,627.97
170,103.658,2,629.642,629.368
170,103.708,2,631.053,630.779
170,103.758,2,632.471,632.197
170,103.808,2,633.898,633.625
170,103.858,2,635.333,635.057
170,103.908,2,636.775,636.5
170,103.958,2,638.225,637.949
170,104.008,2,639.684,639.404
170,104.058,2,641.151,640.87
170,104.108,2,642.626,642.344
170,104.158,2,644.11,643.832
170,104.208,2,645.602,645.321
170,104.258,2,647.102,646.821
170,104.308,2,648.611,648.327
170,104.358,2,650.128,649.846
170,104.408,2,651.655,651.369
170,104.458,2,653.19,652.904
170,104.508,2,654.735,654.45
170,104.558,2,656.288,656.002
170,104.608,2,657.849,657.562
170,104.658,2,659.421,659.129
170,104.708,2,661.001,660.713
170,104.758,2,662.591,662.298
170,104.807,2,664.19,663.9
170,104.857,2,665.798,665.503
170,104.907,2,667.416,667.129
170,104.957,2,669.044,668.753
170,105.007,2,670.681,670.392
170,105.057,2,672.328,672.029
170.05,100.06,2,542.332,542.103
170.05,100.11,2,543.305,543.074
170.05,100.16,2,544.282,544.05
170.05,100.21,2,545.263,545.031
170.05,100.26,2,546.249,546.016
170.05,100.31,2,547.239,547.01
170.05,100.36,2,548.234,548.004
170.05,100.41,2,549.234,549.003
170.05,100.46,2,550.238,550.006
170.05,100.51,2,551.247,551.013
170.05,100.56,2,552.261,552.026
170.05,100.61,2,553.279,553.046
170.05,100.659,2,554.302,554.069
170.05,100.709,2,555.33,555.097
170.05,100.759,2,556.363,556.128
170.05,100.809,2,557.401,557.164
170.05,100.859,2,558.444,558.208
170.05,100.909,2,559.491,559.254
170.05,100.959,2,560.544,560.304
170.05,101.009,2,561.601,561.361
170.05,101.059,2,562.664,562.425
170.05,101.109,2,563.731,563.491
170.05,101.159,2,564.804,564.562
170.05,101.209,2,565.882,565.64
170.05,101.259,2,566.965,566.726
170.05,101.309,2,568.054,567.81
170.05,101.359,2,569.147,568.905
170.05,101.409,2,570.246,570.005
170.05,101.459,2,571.351,571.111
170.05,101.509,2,572.46,572.218
170.05,101.559,2,573.575,573.33
170.05,101.609,2,574.696,574.453
170.05,101.659,2,575.822,575.577
170.05,101.709,2,576.954,576.708
170.05,101.759,2,578.091,577.845
170.05,101.809,2,579.234,578.989
170.05,101.859,2,580.383,580.134
170.05,101.909,2,581.537,581.291
170.05,101.959,2,582.697,582.447
170.05,102.009,2,583.863,583.614
170.05,102.059,2,585.035,584.785
170.05,102.109,2,586.213,585.961
170.05,102.159,2,587.396,587.144
170.05,102.209,2,588.586,588.333
170.05,102.259,2,589.781,589.529
170.05,102.309,2,590.983,590.729
170.05,102.358,2,592.191,591.936
170.05,102.408,2,593.405,593.152
170.05,102.458,2,594.625,594.37
170.05,102.508,2,595.852,595.597
170.05,102.558,2,597.085,596.828
170.05,102.608,2,598.324,598.066
170.05,102.658,2,599.57,599.312
170.05,102.708,2,600.822,600.563
170.05,102.758,2,602.08,601.822
170.05,102.808,2,603.346,603.088
170.05,102.858,2,604.617,604.357
170.05,102.908,2,605.896,605.636
170.05,102.958,2,607.181,606.919
170.05,103.008,2,608.473,608.215
170.05,103.058,2,609.772,609.51
170.05,103.108,2,611.078,610.816
170.05,103.158,2,612.391,612.127
170.05,103.208,2,613.71,613.447
170.05,103.258,2,615.037,614.775
170.05,103.308,2,616.371,616.106
170.05,103.358,2,617.712,617.446
170.05,103.408,2,619.061,618.793
170.05,103.458,2,620.416,620.148
170.05,103.508,2,621.779,621.51
170.05,103.558,2,623.15,622.88
170.05,103.608,2,624.527,624.257
170.05,103.658,2,625.913,625.642
170.05,103.708,2,627.306,627.034
170.05,103.758,2,628.707,628.435
170.05,103.808,2,630.116,629.846
170.05,103.858,2,631.532,631.261
170.05,103.908,2,632.956,632.685
170.05,103.958,2,634.388,634.114
170.05,104.008,2,635.829,635.551
170.05,104.058,2,637.277,636.999
170.05,104.108,2,638.733,638.454
170.05,104.157,2,640.197,639.918
170.05,104.207,2,641.67,641.39
170.05,104.257,2,643.151,642.871
170.05,104.307,2,644.641,644.359
170.05,104.357,2,646.139,645.855
170.05,104.407,2,647.645,647.361
170.05,104.457,2,649.16,648.88
170.05,104.507,2,650.684,650.398
170.05,104.557,2,652.216,651.931
170.05,104.607,2,653.758,653.471
170.05,104.657,2,655.309,655.02
170.05,104.707,2,656.868,656.579
170.05,104.757,2,658.437,658.148
170.05,104.807,2,660.014,659.724
170.05,104.857,2,661.601,661.311
170.05,104.907,2,663.198,662.915
170.05,104.957,2,664.804,664.517
170.05,105.007,2,666.419,666.127
170.05,105.057,2,668.044,667.75
170.1,100.06,2,539.612,539.384
170.1,100.11,2,540.575,540.346
170.1,100.16,2,541.541,541.314
170.1,100.21,2,542.512,542.281
170.1,100.26,2,543.487,543.256
170.1,100.31,2,544.467,544.235
170.1,100.36,2,545.451,545.222
170.1,100.409,2,546.44,546.208
170.1,100.459,2,547.433,547.203
170.1,100.509,2,548.431,548.198
170.1,100.559,2,549.434,549.2
170.1,100.609,2,550.441,550.206
170.1,100.659,2,551.453,551.219
170.1,100.709,2,552.47,552.234
170.1,100.759,2,553.491,553.256
170.1,100.809,2,554.518,554.283
170.1,100.859,2,555.549,555.313
170.1,100.909,2,556.585,556.347
170.1,100.959,2,557.626,557.388
170.1,101.009,2,558.671,558.433
170.1,101.059,2,559.722,559.483
170.1,101.109,2,560.778,560.538
170.1,101.159,2,561.839,561.6
170.1,101.209,2,562.905,562.668
170.1,101.259,2,563.976,563.737
170.1,101.309,2,565.052,564.811
170.1,101.359,2,566.133,565.894
170.1,101.409,2,567.22,566.98
170.1,101.459,2,568.312,568.07
170.1,101.509,2,569.409,569.167
170.1,101.559,2,570.511,570.271
170.1,101.609,2,571.619,571.379
170.1,101.659,2,572.732,572.489
170.1,101.709,2,573.851,573.607
170.1,101.759,2,574.975,574.73
170.1,101.809,2,576.105,575.862
170.1,101.859,2,577.241,576.993
170.1,101.909,2,578.382,578.134
170.1,101.959,2,579.528,579.283
170.1,102.009,2,580.681,580.434
170.1,102.059,2,581.839,581.59
170.1,102.109,2,583.003,582.753
170.1,102.158,2,584.173,583.922
170.1,102.208,2,585.349,585.099
170.1,102.258,2,586.53,586.279
170.1,102.308,2,587.718,587.466
170.1,102.358,2,588.912,588.659
170.1,102.408,2,590.111,589.858
170.1,102.458,2,591.317,591.064
170.1,102.508,2,592.529,592.278
170.1,102.558,2,593.747,593.495
170.1,102.608,2,594.972,594.72
170.1,102.658,2,596.203,595.95
170.1,102.708,2,597.44,597.183
170.1,102.758,2,598.683,598.427
170.1,102.808,2,599.933,599.675
170.1,102.858,2,601.19,600.933
170.1,102.908,2,602.453,602.194
170.1,102.958,2,603.723,603.466
170.1,103.008,2,604.999,604.741
170.1,103.058,2,606.282,606.025
170.1,103.108,2,607.572,607.313
170.1,103.158,2,608.869,608.611
170.1,103.208,2,610.173,609.911
170.1,103.258,2,611.483,611.222
170.1,103.308,2,612.801,612.536
170.1,103.358,2,614.125,613.864
170.1,103.408,2,615.457,615.193
170.1,103.458,2,616.796,616.53
170.1,103.508,2,618.142,617.877
170.1,103.558,2,619.496,619.231
170.1,103.608,2,620.856,620.59
170.1,103.658,2,622.225,621.957
170.1,103.708,2,623.6,623.331
170.1,103.758,2,624.983,624.712
170.1,103.808,2,626.374,626.102
170.1,103.858,2,627.773,627.501
170.1,103.907,2,629.179,628.905
170.1,103.957,2,630.593,630.319
170.1,104.007,2,632.014,631.741
170.1,104.057,2,633.444,633.168
170.1,104.107,2,634.882,634.606
170.1,104.157,2,636.328,636.051
170.1,104.207,2,637.782,637.505
170.1,104.257,2,639.244,638.964
170.1,104.307,2,640.714,640.435
170.1,104.357,2,642.193,641.915
170.1,104.407,2,643.679,643.398
170.1,104.457,2,645.175,644.892
170.1,104.507,2,646.679,646.396
170.1,104.557,2,648.192,647.907
170.1,104.607,2,649.713,649.431
170.1,104.657,2,651.243,650.96
170.1,104.707,2,652.782,652.495
170.1,104.757,2,654.33,654.042
170.1,104.807,2,655.887,655.601
170.1,104.857,2,657.453,657.168
170.1,104.907,2,659.028,658.74
170.1,104.957,2,660.612,660.325
170.1,105.007,2,662.206,661.916
170.1,105.057,2,663.809,663.516
170.15,100.06,2,536.917,536.69
170.15,100.11,2,537.869,537.642
170.15,100.159,2,538.825,538.596
170.15,100.209,2,539.785,539.556
170.15,100.259,2,540.75,540.523
170.15,100.309,2,541.719,541.489
170.15,100.359,2,542.693,542.462
170.15,100.409,2,543.671,543.44
170.15,100.459,2,544.654,544.423
170.15,100.509,2,545.641,545.409
170.15,100.559,2,546.633,546.4
170.15,100.609,2,547.629,547.396
170.15,100.659,2,548.63,548.399
170.15,100.709,2,549.636,549.402
170.15,100.759,2,550.646,550.412
170.15,100.809,2,551.661,551.428
170.15,100.859,2,552.681,552.447
170.15,100.909,2,553.705,553.47
170.15,100.959,2,554.735,554.499
170.15,101.009,2,555.769,555.534
170.15,101.059,2,556.808,556.571
170.15,101.109,2,557.852,557.614
170.15,101.159,2,558.901,558.664
170.15,101.209,2,559.955,559.719
170.15,101.259,2,561.014,560.778
170.15,101.309,2,562.078,561.84
170.15,101.359,2,563.147,562.91
170.15,101.409,2,564.222,563.981
170.15,101.459,2,565.301,565.06
170.15,101.509,2,566.386,566.145
170.15,101.559,2,567.476,567.234
170.15,101.609,2,568.572,568.329
170.15,101.659,2,569.672,569.43
170.15,101.709,2,570.778,570.535
170.15,101.759,2,571.89,571.646
170.15,101.809,2,573.007,572.762
170.15,101.859,2,574.129,573.884
170.15,101.908,2,575.257,575.011
170.15,101.958,2,576.391,576.144
170.15,102.008,2,577.53,577.284
170.15,102.058,2,578.674,578.428
170.15,102.108,2,579.825,579.577
170.15,102.158,2,580.981,580.733
170.15,102.208,2,582.143,581.896
170.15,102.258,2,583.311,583.062
170.15,102.308,2,584.485,584.238
170.15,102.358,2,585.665,585.414
170.15,102.408,2,586.85,586.602
170.15,102.458,2,588.042,587.792
170.15,102.508,2,589.24,588.988
170.15,102.558,2,590.444,590.192
170.15,102.608,2,591.653,591.4
170.15,102.658,2,592.87,592.62
170.15,102.708,2,594.092,593.84
170.15,102.758,2,595.321,595.065
170.15,102.808,2,596.556,596.301
170.15,102.858,2,597.798,597.543
170.15,102.908,2,599.045,598.788
170.15,102.958,2,600.3,600.046
170.15,103.008,2,601.561,601.302
170.15,103.058,2,602.829,602.571
170.15,103.108,2,604.103,603.844
170.15,103.158,2,605.384,605.125
170.15,103.208,2,606.672,606.411
170.15,103.258,2,607.966,607.705
170.15,103.308,2,609.268,609.009
170.15,103.358,2,610.576,610.317
170.15,103.408,2,611.891,611.628
170.15,103.458,2,613.214,612.951
170.15,103.508,2,614.543,614.279
170.15,103.558,2,615.88,615.614
170.15,103.608,2,617.224,616.958
170.15,103.657,2,618.575,618.311
170.15,103.707,2,619.933,619.669
170.15,103.757,2,621.299,621.032
170.15,103.807,2,622.673,622.403
170.15,103.857,2,624.054,623.788
170.15,103.907,2,625.442,625.175
170.15,103.957,2,626.838,626.569
170.15,104.007,2,628.242,627.973
170.15,104.057,2,629.654,629.38
170.15,104.107,2,631.073,630.8
170.15,104.157,2,632.501,632.227
170.15,104.207,2,633.936,633.663
170.15,104.257,2,635.379,635.104
170.15,104.307,2,636.831,636.555
170.15,104.357,2,638.29,638.015
170.15,104.407,2,639.758,639.483
170.15,104.457,2,641.234,640.958
170.15,104.507,2,642.719,642.44
170.15,104.557,2,644.211,643.931
170.15,104.607,2,645.713,645.433
170.15,104.657,2,647.224,646.944
170.15,104.707,2,648.742,648.458
170.15,104.757,2,650.27,649.985
170.15,104.807,2,651.806,651.52
170.15,104.857,2,653.351,653.066
170.15,104.907,2,654.906,654.62
170.15,104.957,2,656.469,656.18
170.15,105.007,2,658.041,657.753
170.15,105.057,2,659.624,659.341
170.2,100.059,2,534.245,534.019
170.2,100.109,2,535.187,534.961
170.2,100.159,2,536.133,535.908
170.2,100.209,2,537.083,536.855
170.2,100.259,2,538.037,537.809
170.2,100.309,2,538.996,538.769
170.2,100.359,2,539.959,539.731
170.2,100.409,2,540.927,540.698
170.2,100.459,2,541.899,541.669
170.2,100.509,2,542.876,542.647
170.2,100.559,2,543.857,543.627
170.2,100.609,2,544.842,544.615
170.2,100.659,2,545.832,545.603
170.2,100.709,2,546.827,546.596
170.2,100.759,2,547.826,547.594
170.2,100.809,2,548.83,548.597
170.2,100.859,2,549.839,549.606
170.2,100.909,2,550.852,550.62
170.2,100.959,2,551.87,551.636
170.2,101.009,2,552.893,552.658
170.2,101.059,2,553.921,553.685
170.2,101.109,2,554.953,554.717
170.2,101.159,2,555.991,555.757
170.2,101.209,2,557.033,556.798
170.2,101.259,2,558.08,557.846
170.2,101.308,2,559.132,558.894
170.2,101.358,2,560.19,559.954
170.2,101.408,2,561.252,561.015
170.2,101.458,2,562.32,562.081
170.2,101.508,2,563.392,563.152
170.2,101.558,2,564.47,564.23
170.2,101.608,2,565.553,565.313
170.2,101.658,2,566.641,566.4
170.2,101.708,2,567.735,567.493
170.2,101.758,2,568.833,568.592
170.2,101.808,2,569.938,569.695
170.2,101.858,2,571.047,570.808
170.2,101.908,2,572.162,571.918
170.2,101.958,2,573.283,573.04
170.2,102.008,2,574.409,574.164
170.2,102.058,2,575.541,575.296
170.2,102.108,2,576.678,576.434
170.2,102.158,2,577.821,577.574
170.2,102.208,2,578.969,578.722
170.2,102.258,2,580.124,579.88
170.2,102.308,2,581.284,581.036
170.2,102.358,2,582.45,582.202
170.2,102.408,2,583.621,583.372
170.2,102.458,2,584.799,584.55
170.2,102.508,2,585.983,585.733
170.2,102.558,2,587.173,586.922
170.2,102.608,2,588.368,588.119
170.2,102.658,2,589.57,589.318
170.2,102.708,2,590.778,590.529
170.2,102.758,2,591.992,591.74
170.2,102.808,2,593.213,592.96
170.2,102.858,2,594.439,594.185
170.2,102.908,2,595.672,595.417
170.2,102.958,2,596.912,596.656
170.2,103.008,2,598.158,597.901
