Mt,Mh_calc,Stability,S_exact,S_approx
187.5,189.75,4,-1,-1
187.5,190,4,-1,-1
187.5,190.25,4,-1,-1
187.5,190.5,4,-1,-1
187.5,190.75,4,-1,-1
187.5,191,4,-1,-1
187.5,191.25,4,-1,-1
187.5,191.5,4,-1,-1
187.5,191.75,4,-1,-1
187.5,192,4,-1,-1
187.5,192.25,4,-1,-1
187.5,192.5,4,-1,-1
187.5,192.75,4,-1,-1
187.5,193,4,-1,-1
187.5,193.25,4,-1,-1
187.5,193.5,4,-1,-1
187.5,193.75,4,-1,-1
187.5,194,4,-1,-1
187.5,194.25,4,-1,-1
187.5,194.5,4,-1,-1
187.5,194.75,4,-1,-1
187.5,195,4,-1,-1
187.5,195.25,4,-1,-1
187.5,195.5,4,-1,-1
187.5,195.75,4,-1,-1
187.5,196,4,-1,-1
187.5,196.25,4,-1,-1
187.5,196.5,4,-1,-1
187.5,196.75,4,-1,-1
187.5,197,4,-1,-1
187.5,197.25,4,-1,-1
187.5,197.5,4,-1,-1
187.5,197.75,4,-1,-1
187.5,198,4,-1,-1
187.5,198.25,4,-1,-1
187.5,198.5,4,-1,-1
187.5,198.75,4,-1,-1
187.5,199,4,-1,-1
187.5,199.25,4,-1,-1
187.5,199.5,4,-1,-1
187.5,199.75,4,-1,-1
187.5,200,4,-1,-1
187.5,200.25,4,-1,-1
187.5,200.5,4,-1,-1
187.5,200.75,4,-1,-1
187.5,201,4,-1,-1
187.5,201.25,4,-1,-1
187.5,201.5,4,-1,-1
187.5,201.75,4,-1,-1
187.5,202,4,-1,-1
187.5,202.25,4,-1,-1
187.5,202.5,4,-1,-1
187.5,202.75,4,-1,-1
187.5,203,4,-1,-1
187.5,203.25,4,-1,-1
187.5,203.5,4,-1,-1
187.5,203.75,4,-1,-1
187.5,204,4,-1,-1
187.5,204.25,4,-1,-1
187.5,204.5,4,-1,-1
187.5,204.75,4,-1,-1
187.5,205,4,-1,-1
187.5,205.25,4,-1,-1
187.5,205.5,4,-1,-1
187.5,205.75,4,-1,-1
187.5,206,4,-1,-1
187.5,206.25,4,-1,-1
187.5,206.5,4,-1,-1
187.5,206.75,4,-1,-1
187.5,207,4,-1,-1
187.5,207.25,4,-1,-1
187.5,207.5,4,-1,-1
187.5,207.75,4,-1,-1
187.5,208,4,-1,-1
187.5,208.25,4,-1,-1
187.5,208.5,4,-1,-1
187.5,208.75,4,-1,-1
187.5,209,4,-1,-1
187.5,209.25,4,-1,-1
187.5,209.5,4,-1,-1
187.5,209.75,4,-1,-1
187.5,210,4,-1,-1
187.5,210.25,4,-1,-1
187.5,210.5,4,-1,-1
187.5,210.75,4,-1,-1
187.5,211,4,-1,-1
187.5,211.25,4,-1,-1
187.5,211.5,4,-1,-1
187.5,211.75,4,-1,-1
187.5,212,4,-1,-1
187.5,212.25,4,-1,-1
187.5,212.5,4,-1,-1
187.5,212.75,4,-1,-1
187.5,213,4,-1,-1
187.5,213.25,4,-1,-1
187.5,213.5,4,-1,-1
187.5,213.75,4,-1,-1
187.5,214,4,-1,-1
187.5,214.25,4,-1,-1
187.5,214.5,4,-1,-1
187.5,214.75,4,-1,-1
187.5,215,4,-1,-1
187.5,215.25,4,-1,-1
187.5,215.5,4,-1,-1
187.5,215.75,4,-1,-1
187.5,216,4,-1,-1
187.5,216.25,4,-1,-1
187.5,216.5,4,-1,-1
187.5,216.75,4,-1,-1
187.5,217,4,-1,-1
187.5,217.25,4,-1,-1
187.5,217.5,4,-1,-1
187.5,217.75,4,-1,-1
187.5,218,4,-1,-1
187.5,218.25,4,-1,-1
187.5,218.5,4,-1,-1
187.5,218.75,4,-1,-1
187.5,219,4,-1,-1
187.5,219.25,4,-1,-1
187.5,219.5,4,-1,-1
187.5,219.75,4,-1,-1
187.5,220,4,-1,-1
187.5,220.25,4,-1,-1
187.5,220.5,4,-1,-1
187.5,220.75,4,-1,-1
187.5,221,4,-1,-1
187.5,221.25,4,-1,-1
187.5,221.5,4,-1,-1
187.5,221.75,4,-1,-1
187.5,222,4,-1,-1
187.5,222.25,4,-1,-1
187.5,222.5,4,-1,-1
187.5,222.75,4,-1,-1
187.5,223,4,-1,-1
187.5,223.25,4,-1,-1
187.5,223.5,4,-1,-1
187.5,223.75,4,-1,-1
187.5,224,4,-1,-1
187.5,224.25,4,-1,-1
187.5,224.5,4,-1,-1
187.5,224.75,4,-1,-1
187.5,225,4,-1,-1
187.5,225.25,4,-1,-1
187.5,225.5,4,-1,-1
187.5,225.75,4,-1,-1
187.5,226,4,-1,-1
187.5,226.25,4,-1,-1
187.5,226.5,4,-1,-1
187.5,226.75,4,-1,-1
187.5,227,4,-1,-1
187.5,227.25,4,-1,-1
187.5,227.5,4,-1,-1
187.5,227.75,4,-1,-1
187.5,228,4,-1,-1
187.5,228.25,4,-1,-1
187.5,228.5,4,-1,-1
187.5,228.75,4,-1,-1
187.5,229,4,-1,-1
