Mt,Mh_calc,Stability,S_exact,S_approx
100,10.4751,2,87053.4,32725.4
100,11.9154,2,183198,48418.4
100,13.3689,2,1e+100,106883
100,14.8316,1,-1,-1
100,16.3011,1,-1,-1
100,17.7757,1,-1,-1
100,19.2543,1,-1,-1
100,20.7359,1,-1,-1
100,22.22,1,-1,-1
100,23.706,1,-1,-1
100,25.1938,1,-1,-1
100,26.6829,1,-1,-1
100,28.1732,1,-1,-1
100,29.6644,1,-1,-1
100,31.1565,1,-1,-1
100,32.6493,1,-1,-1
100,34.1427,1,-1,-1
100,35.6367,1,-1,-1
100,37.1312,1,-1,-1
100,38.6261,1,-1,-1
100,40.1214,1,-1,-1
100,41.617,1,-1,-1
100,43.113,1,-1,-1
100,44.6092,1,-1,-1
100,46.1056,1,-1,-1
100,47.6023,1,-1,-1
100,49.0992,1,-1,-1
100,50.5962,1,-1,-1
100,52.0934,1,-1,-1
100,53.5908,1,-1,-1
100,55.0884,1,-1,-1
100,56.586,1,-1,-1
100,58.0838,1,-1,-1
100,59.5817,1,-1,-1
100,61.0797,1,-1,-1
100,62.5778,1,-1,-1
100,64.0759,1,-1,-1
100,65.5742,1,-1,-1
100,67.0725,1,-1,-1
100,68.571,1,-1,-1
100,70.0694,1,-1,-1
100,71.568,1,-1,-1
100,73.0666,1,-1,-1
100,74.5653,1,-1,-1
100,76.064,1,-1,-1
100,77.5627,1,-1,-1
100,79.0615,1,-1,-1
100,80.5604,1,-1,-1
100,82.0593,1,-1,-1
100,83.5582,1,-1,-1
100,85.0572,1,-1,-1
100,86.5562,1,-1,-1
100,88.0552,1,-1,-1
100,89.5543,1,-1,-1
100,91.0534,1,-1,-1
100,92.5526,1,-1,-1
100,94.0517,1,-1,-1
100,95.5509,1,-1,-1
100,97.0501,1,-1,-1
100,98.5494,1,-1,-1
100,100.049,1,-1,-1
100,101.548,1,-1,-1
100,103.047,1,-1,-1
100,104.547,1,-1,-1
100,106.046,1,-1,-1
100,107.545,1,-1,-1
100,109.045,1,-1,-1
100,110.544,1,-1,-1
100,112.043,1,-1,-1
100,113.543,1,-1,-1
100,115.042,1,-1,-1
100,116.542,1,-1,-1
100,118.041,1,-1,-1
100,119.541,1,-1,-1
100,121.04,1,-1,-1
100,122.54,1,-1,-1
100,124.039,1,-1,-1
100,125.539,1,-1,-1
100,127.038,1,-1,-1
100,128.538,1,-1,-1
100,130.037,1,-1,-1
100,131.537,1,-1,-1
100,133.037,1,-1,-1
100,134.536,1,-1,-1
100,136.036,1,-1,-1
100,137.535,1,-1,-1
100,139.035,1,-1,-1
100,140.535,1,-1,-1
100,142.034,1,-1,-1
100,143.534,1,-1,-1
100,145.034,1,-1,-1
100,146.533,1,-1,-1
100,148.033,1,-1,-1
100,149.533,1,-1,-1
100,151.032,1,-1,-1
100,152.532,1,-1,-1
100,154.032,1,-1,-1
100,155.531,1,-1,-1
100,157.031,1,-1,-1
100,158.531,1,-1,-1
100,160.03,1,-1,-1
100,161.53,1,-1,-1
100,163.03,4,-1,-1
100,164.53,4,-1,-1
100,166.029,4,-1,-1
100,167.529,4,-1,-1
100,169.029,4,-1,-1
100,170.529,4,-1,-1
100,172.028,4,-1,-1
100,173.528,4,-1,-1
100,175.028,4,-1,-1
100,176.528,4,-1,-1
100,178.027,4,-1,-1
100,179.527,4,-1,-1
100,181.027,4,-1,-1
100,182.527,4,-1,-1
100,184.026,4,-1,-1
100,185.526,4,-1,-1
100,187.026,4,-1,-1
100,188.526,4,-1,-1
100,190.026,4,-1,-1
100,191.525,4,-1,-1
100,193.025,4,-1,-1
100,194.525,4,-1,-1
100,196.025,4,-1,-1
100,197.525,4,-1,-1
100,199.024,4,-1,-1
100,200.524,4,-1,-1
100,202.024,4,-1,-1
100,203.524,4,-1,-1
100,205.024,4,-1,-1
100,206.524,4,-1,-1
100,208.023,4,-1,-1
100,209.523,4,-1,-1
100,211.023,4,-1,-1
100,212.523,4,-1,-1
100,214.023,4,-1,-1
100,215.523,4,-1,-1
100,217.022,4,-1,-1
100,218.522,4,-1,-1
100,220.022,4,-1,-1
100,221.522,4,-1,-1
100,223.022,4,-1,-1
100,224.522,4,-1,-1
100,226.022,4,-1,-1
100,227.521,4,-1,-1
100,229.021,4,-1,-1
100,230.521,4,-1,-1
100,232.021,4,-1,-1
100,233.521,4,-1,-1
100,235.021,4,-1,-1
100,236.521,4,-1,-1
100,238.02,4,-1,-1
100,239.52,4,-1,-1
100,241.02,4,-1,-1
100,242.52,4,-1,-1
100,244.02,4,-1,-1
100,245.52,4,-1,-1
100,247.02,4,-1,-1
100,248.52,4,-1,-1
100,250.019,4,-1,-1
100,251.519,4,-1,-1
100,253.019,4,-1,-1
100,254.519,4,-1,-1
100,256.019,4,-1,-1
100,257.519,4,-1,-1
100,259.019,4,-1,-1
100,260.519,4,-1,-1
100,262.019,4,-1,-1
100,263.518,4,-1,-1
100,265.018,4,-1,-1
100,266.518,4,-1,-1
100,268.018,4,-1,-1
100,269.518,4,-1,-1
100,271.018,4,-1,-1
100,272.518,4,-1,-1
100,274.018,4,-1,-1
100,275.518,4,-1,-1
100,277.018,4,-1,-1
100,278.517,4,-1,-1
100,280.017,4,-1,-1
100,281.517,4,-1,-1
100,283.017,4,-1,-1
100,284.517,4,-1,-1
100,286.017,4,-1,-1
100,287.517,4,-1,-1
100,289.017,4,-1,-1
100,290.517,4,-1,-1
100,292.017,4,-1,-1
100,293.517,4,-1,-1
100,295.016,4,-1,-1
100,296.516,4,-1,-1
100,298.016,4,-1,-1
100,299.516,4,-1,-1
101.5,10.5012,3,-619673,21989.7
101.5,11.9384,2,64417.6,28105.6
101.5,13.3894,2,130520,41151.2
101.5,14.8501,2,1e+100,85938.1
101.5,16.3179,1,-1,-1
101.5,17.7911,1,-1,-1
101.5,19.2685,1,-1,-1
101.5,20.7491,1,-1,-1
101.5,22.2323,1,-1,-1
101.5,23.7176,1,-1,-1
101.5,25.2047,1,-1,-1
101.5,26.6932,1,-1,-1
101.5,28.1829,1,-1,-1
101.5,29.6736,1,-1,-1
101.5,31.1653,1,-1,-1
101.5,32.6577,1,-1,-1
101.5,34.1508,1,-1,-1
101.5,35.6444,1,-1,-1
101.5,37.1386,1,-1,-1
101.5,38.6332,1,-1,-1
101.5,40.1282,1,-1,-1
101.5,41.6236,1,-1,-1
101.5,43.1193,1,-1,-1
101.5,44.6153,1,-1,-1
101.5,46.1115,1,-1,-1
101.5,47.608,1,-1,-1
101.5,49.1047,1,-1,-1
101.5,50.6016,1,-1,-1
101.5,52.0987,1,-1,-1
101.5,53.5959,1,-1,-1
101.5,55.0933,1,-1,-1
101.5,56.5909,1,-1,-1
101.5,58.0885,1,-1,-1
101.5,59.5863,1,-1,-1
101.5,61.0842,1,-1,-1
101.5,62.5821,1,-1,-1
101.5,64.0802,1,-1,-1
101.5,65.5784,1,-1,-1
101.5,67.0766,1,-1,-1
101.5,68.575,1,-1,-1
101.5,70.0734,1,-1,-1
101.5,71.5718,1,-1,-1
101.5,73.0703,1,-1,-1
101.5,74.5689,1,-1,-1
101.5,76.0676,1,-1,-1
101.5,77.5663,1,-1,-1
101.5,79.065,1,-1,-1
101.5,80.5638,1,-1,-1
101.5,82.0626,1,-1,-1
101.5,83.5615,1,-1,-1
101.5,85.0604,1,-1,-1
101.5,86.5594,1,-1,-1
101.5,88.0584,1,-1,-1
101.5,89.5574,1,-1,-1
101.5,91.0564,1,-1,-1
101.5,92.5555,1,-1,-1
101.5,94.0546,1,-1,-1
101.5,95.5538,1,-1,-1
101.5,97.0529,1,-1,-1
101.5,98.5521,1,-1,-1
101.5,100.051,1,-1,-1
101.5,101.551,1,-1,-1
101.5,103.05,1,-1,-1
101.5,104.549,1,-1,-1
101.5,106.048,1,-1,-1
101.5,107.548,1,-1,-1
101.5,109.047,1,-1,-1
101.5,110.546,1,-1,-1
101.5,112.046,1,-1,-1
101.5,113.545,1,-1,-1
101.5,115.045,1,-1,-1
101.5,116.544,1,-1,-1
101.5,118.044,1,-1,-1
101.5,119.543,1,-1,-1
101.5,121.042,1,-1,-1
101.5,122.542,1,-1,-1
101.5,124.041,1,-1,-1
101.5,125.541,1,-1,-1
101.5,127.04,1,-1,-1
101.5,128.54,1,-1,-1
101.5,130.04,1,-1,-1
101.5,131.539,1,-1,-1
101.5,133.039,1,-1,-1
101.5,134.538,1,-1,-1
101.5,136.038,1,-1,-1
101.5,137.537,1,-1,-1
101.5,139.037,1,-1,-1
101.5,140.537,1,-1,-1
101.5,142.036,1,-1,-1
101.5,143.536,1,-1,-1
101.5,145.035,1,-1,-1
101.5,146.535,1,-1,-1
101.5,148.035,1,-1,-1
101.5,149.534,1,-1,-1
101.5,151.034,1,-1,-1
101.5,152.534,1,-1,-1
101.5,154.033,1,-1,-1
101.5,155.533,1,-1,-1
101.5,157.033,1,-1,-1
