Mt,Mh_calc,Stability,S_approx
172.75,77.25,3,283.98
172.75,77.5,3,284.811
172.75,77.75,3,285.65
172.75,78,3,286.498
172.75,78.25,3,287.354
172.75,78.5,3,288.219
172.75,78.75,3,289.093
172.75,79,3,289.977
172.75,79.25,3,290.869
172.75,79.5,3,291.771
172.75,79.75,3,292.682
172.75,80,3,293.603
172.75,80.25,3,294.534
172.75,80.5,3,295.475
172.75,80.75,3,296.425
172.75,81,3,297.386
172.75,81.25,3,298.357
172.75,81.5,3,299.339
172.75,81.75,3,300.332
172.75,82,3,301.335
172.75,82.25,3,302.35
172.75,82.5,3,303.375
172.75,82.75,3,304.412
172.75,83,3,305.461
172.75,83.25,3,306.521
172.75,83.5,3,307.593
172.75,83.75,3,308.678
172.75,84,3,309.774
172.75,84.25,3,310.884
172.75,84.5,3,312.006
172.75,84.75,3,313.14
172.75,85,3,314.288
172.75,85.25,3,315.45
172.75,85.5,3,316.625
172.75,85.75,3,317.814
172.75,86,3,319.017
172.75,86.25,3,320.234
172.75,86.5,3,321.466
172.75,86.75,3,322.712
172.75,87,3,323.974
172.75,87.25,3,325.251
172.75,87.5,3,326.544
172.75,87.75,3,327.853
172.75,88,3,329.178
172.75,88.25,3,330.519
172.75,88.5,3,331.877
172.75,88.75,3,333.252
172.75,89,3,334.645
172.75,89.25,3,336.055
172.75,89.5,3,337.484
172.75,89.75,3,338.93
172.75,90,3,340.396
172.75,90.25,3,341.881
172.75,90.5,3,343.385
172.75,90.75,3,344.909
172.75,91,3,346.453
172.75,91.25,3,348.019
172.75,91.5,3,349.605
172.75,91.75,3,351.212
172.75,92,3,352.842
172.75,92.25,3,354.494
172.75,92.5,3,356.169
172.75,92.75,3,357.867
172.75,93,3,359.588
172.75,93.25,3,361.335
172.75,93.5,3,363.106
172.75,93.75,3,364.902
172.75,94,3,366.724
172.75,94.25,3,368.572
172.75,94.5,3,370.448
172.75,94.75,3,372.351
172.75,95,3,374.283
172.75,95.25,3,376.243
172.75,95.5,3,378.232
172.75,95.75,3,380.252
172.75,96,3,382.303
172.75,96.25,3,384.385
172.75,96.5,3,386.5
172.75,96.75,3,388.647
172.75,97,3,390.829
172.75,97.25,3,393.045
172.75,97.5,3,395.296
172.75,97.75,3,397.584
172.75,98,3,399.909
172.75,98.25,3,402.272
172.75,98.5,3,404.674
172.75,98.75,3,407.116
172.75,99,3,409.599
172.75,99.25,3,412.124
172.75,99.5,3,414.693
172.75,99.75,3,417.306
172.75,100,3,419.964
172.75,100.25,3,422.669
172.75,100.5,3,425.421
172.75,100.75,3,428.223
172.75,101,2,431.076
172.75,101.25,2,433.981
172.75,101.5,2,436.938
172.75,101.75,2,439.951
172.75,102,2,443.02
