r,phi,dphi,V,dV
3.646065e-008,2.742683e+004,-3.888268e+002,-3.020558e+014,-4.265715e+010
1.719446e-007,2.742683e+004,-1.833667e+003,-3.020558e+014,-4.265715e+010
4.459800e-007,2.742683e+004,-4.756059e+003,-3.020558e+014,-4.265715e+010
1.156757e-006,2.742682e+004,-1.233599e+004,-3.020555e+014,-4.265712e+010
3.000331e-006,2.742678e+004,-3.199629e+004,-3.020538e+014,-4.265695e+010
7.782085e-006,2.742651e+004,-8.298861e+004,-3.020425e+014,-4.265578e+010
2.018472e-005,2.742466e+004,-2.152246e+005,-3.019662e+014,-4.264790e+010
5.235397e-005,2.741222e+004,-5.577753e+005,-3.014538e+014,-4.259499e+010
1.357927e-004,2.732883e+004,-1.438704e+006,-2.980334e+014,-4.224122e+010
3.522114e-004,2.678003e+004,-3.584383e+006,-2.745621e+014,-3.972705e+010
7.798017e-004,2.451577e+004,-6.709173e+006,-1.959172e+014,-3.099337e+010
1.101291e-003,2.215418e+004,-7.810125e+006,-1.322305e+014,-2.317540e+010
1.367974e-003,2.003323e+004,-8.004839e+006,-8.936897e+013,-1.734134e+010
1.609668e-003,1.812031e+004,-7.773907e+006,-6.039766e+013,-1.297137e+010
1.838094e-003,1.639254e+004,-7.326752e+006,-4.079727e+013,-9.695983e+009
2.059378e-003,1.483095e+004,-6.774766e+006,-2.753763e+013,-7.241584e+009
2.277265e-003,1.341901e+004,-6.182201e+006,-1.857177e+013,-5.403464e+009
2.494298e-003,1.214209e+004,-5.587263e+006,-1.251338e+013,-4.027925e+009
2.712346e-003,1.098708e+004,-5.012623e+006,-8.422931e+012,-2.999438e+009
2.932870e-003,9.942230e+003,-4.471273e+006,-5.663630e+012,-2.231151e+009
3.157068e-003,8.996953e+003,-3.970028e+006,-3.804058e+012,-1.657793e+009
3.385969e-003,8.141704e+003,-3.511731e+006,-2.552098e+012,-1.230340e+009
3.620487e-003,7.367871e+003,-3.096686e+006,-1.710102e+012,-9.119972e+008
3.861452e-003,6.667674e+003,-2.723597e+006,-1.144447e+012,-6.751700e+008
4.109644e-003,6.034086e+003,-2.390210e+006,-7.648764e+011,-4.991829e+008
