r,phi,dphi,V,dV
4.299760e-008,2.325711e+004,-2.865039e+002,-1.597341e+014,-2.665301e+010
2.027722e-007,2.325711e+004,-1.351123e+003,-1.597341e+014,-2.665301e+010
5.259389e-007,2.325711e+004,-3.504464e+003,-1.597341e+014,-2.665301e+010
1.364150e-006,2.325710e+004,-9.089673e+003,-1.597339e+014,-2.665299e+010
3.538254e-006,2.325707e+004,-2.357620e+004,-1.597330e+014,-2.665288e+010
9.177319e-006,2.325683e+004,-6.114945e+004,-1.597269e+014,-2.665213e+010
2.380360e-005,2.325522e+004,-1.585858e+005,-1.596854e+014,-2.664706e+010
6.174041e-005,2.324442e+004,-4.097629e+005,-1.584290e+014,-2.645608e+010
1.601387e-004,2.317236e+004,-1.053732e+006,-1.565894e+014,-2.623076e+010
4.153586e-004,2.269823e+004,-2.631132e+006,-1.448720e+014,-2.477836e+010
9.146642e-004,2.076462e+004,-4.890415e+006,-1.023125e+014,-1.914936e+010
1.288766e-003,1.876471e+004,-5.673938e+006,-6.892840e+013,-1.429223e+010
1.599909e-003,1.696841e+004,-5.804920e+006,-4.649984e+013,-1.067426e+010
1.882369e-003,1.534826e+004,-5.628621e+006,-3.136723e+013,-7.969305e+009
2.149746e-003,1.388491e+004,-5.297086e+006,-2.114799e+013,-5.945654e+009
2.409134e-003,1.256228e+004,-4.891489e+006,-1.424732e+013,-4.432049e+009
2.664878e-003,1.136640e+004,-4.457927e+006,-9.589852e+012,-3.300603e+009
2.919951e-003,1.028487e+004,-4.023790e+006,-6.448609e+012,-2.455478e+009
3.176550e-003,9.306586e+003,-3.605283e+006,-4.331756e+012,-1.824770e+009
3.436405e-003,8.421605e+003,-3.211641e+006,-2.906550e+012,-1.354524e+009
3.700952e-003,7.620957e+003,-2.847657e+006,-1.947962e+012,-1.004268e+009
3.971434e-003,6.896560e+003,-2.515268e+006,-1.303901e+012,-7.436578e+008
4.248968e-003,6.241120e+003,-2.214593e+006,-8.716483e+011,-5.499614e+008
4.534582e-003,5.648048e+003,-1.944710e+006,-5.818875e+011,-4.061615e+008
4.829240e-003,5.111392e+003,-1.703817e+006,-3.878857e+011,-2.995315e+008
5.133884e-003,4.625773e+003,-1.489806e+006,-2.581651e+011,-2.205611e+008
5.449442e-003,4.186327e+003,-1.300436e+006,-1.715448e+011,-1.621509e+008
5.776839e-003,3.788658e+003,-1.133431e+006,-1.137878e+011,-1.190063e+008
6.117003e-003,3.428787e+003,-9.865678e+005,-7.533500e+010,-8.718282e+007
6.470876e-003,3.103116e+003,-8.577306e+005,-4.977586e+010,-6.374487e+007
6.839421e-003,2.808393e+003,-7.449438e+005,-3.281633e+010,-4.651015e+007
7.223629e-003,2.541674e+003,-6.463874e+005,-2.158379e+010,-3.385815e+007
7.624520e-003,2.300295e+003,-5.604030e+005,-1.415911e+010,-2.458695e+007
8.043154e-003,2.081848e+003,-4.854918e+005,-9.261966e+009,-1.780619e+007
8.480631e-003,1.884152e+003,-4.203082e+005,-6.039451e+009,-1.285710e+007
8.938099e-003,1.705234e+003,-3.636513e+005,-3.924303e+009,-9.252969e+006
9.416757e-003,1.543311e+003,-3.144536e+005,-2.539871e+009,-6.634649e+006
9.917861e-003,1.396767e+003,-2.717703e+005,-1.636510e+009,-4.737542e+006
1.044273e-002,1.264142e+003,-2.347678e+005,-1.049075e+009,-3.366994e+006
1.099274e-002,1.144111e+003,-2.027126e+005,-6.685461e+008,-2.380048e+006
1.156936e-002,1.035480e+003,-1.749608e+005,-4.231164e+008,-1.671891e+006
1.217412e-002,9.371654e+002,-1.509486e+005,-2.656038e+008,-1.165824e+006
1.280864e-002,8.481867e+002,-1.301829e+005,-1.650903e+008,-8.058279e+005
1.347462e-002,7.676574e+002,-1.122334e+005,-1.013749e+008,-5.510818e+005
1.417389e-002,6.947750e+002,-9.672491e+004,-6.130231e+007,-3.719047e+005
1.490836e-002,6.288133e+002,-8.333086e+004,-3.633642e+007,-2.467726e+005
1.568006e-002,5.691149e+002,-7.176746e+004,-2.096129e+007,-1.601199e+005
1.649115e-002,5.150850e+002,-6.178795e+004,-1.162912e+007,-1.007247e+005
1.734394e-002,4.661853e+002,-5.317801e+004,-6.070192e+006,-6.052479e+004
1.824088e-002,4.219287e+002,-4.575194e+004,-2.841406e+006,-3.374971e+004
1.918458e-002,3.818742e+002,-3.934881e+004,-1.031905e+006,-1.628761e+004
2.017785e-002,3.456228e+002,-3.382922e+004,-7.174179e+004,-5.222886e+003
2.122369e-002,3.128133e+002,-2.907252e+004,3.919754e+005,1.500101e+003
2.232533e-002,2.831190e+002,-2.497433e+004,5.749041e+005,5.321030e+003
2.348623e-002,2.562441e+002,-2.144437e+004,6.066571e+005,7.240306e+003
2.471016e-002,2.319207e+002,-1.840464e+004,5.634391e+005,7.946556e+003
2.600117e-002,2.099068e+002,-1.578770e+004,4.887139e+005,7.908343e+003
2.736365e-002,1.899829e+002,-1.353534e+004,4.061878e+005,7.439903e+003
2.880241e-002,1.719507e+002,-1.159728e+004,3.278876e+005,6.748060e+003
3.032268e-002,1.556306e+002,-9.930107e+003,2.591270e+005,5.965554e+003
3.193019e-002,1.408599e+002,-8.496380e+003,2.015160e+005,5.174596e+003
3.363128e-002,1.274916e+002,-7.263783e+003,1.547476e+005,4.423399e+003
3.543290e-002,1.153926e+002,-6.204445e+003,1.176327e+005,3.737713e+003
3.734282e-002,1.044422e+002,-5.294328e+003,8.867734e+004,3.128783e+003
3.936967e-002,9.453158e+001,-4.512709e+003,6.638620e+004,2.598802e+003
4.152313e-002,8.556188e+001,-3.841738e+003,4.940718e+004,2.144579e+003
4.381409e-002,7.744382e+001,-3.265999e+003,3.658641e+004,1.759979e+003
4.625493e-002,7.009655e+001,-2.772223e+003,2.697532e+004,1.437507e+003
4.885975e-002,6.344688e+001,-2.348977e+003,1.981420e+004,1.169302e+003
5.164476e-002,5.742860e+001,-1.986413e+003,1.450622e+004,9.477323e+002
5.462869e-002,5.198177e+001,-1.676046e+003,1.058945e+004,7.657352e+002
5.783342e-002,4.705214e+001,-1.410569e+003,7.710474e+003,6.169749e+002
6.128467e-002,4.259063e+001,-1.183692e+003,5.601513e+003,4.958969e+002
6.501300e-002,3.855281e+001,-9.899986e+002,4.061233e+003,3.977140e+002
6.905509e-002,3.489846e+001,-8.248253e+002,2.939256e+003,3.183549e+002
7.345549e-002,3.159120e+001,-6.841598e+002,2.123891e+003,2.543941e+002
7.826900e-002,2.859811e+001,-5.645496e+002,1.532577e+003,2.029745e+002
8.356403e-002,2.588938e+001,-4.630248e+002,1.104540e+003,1.617301e+002
8.942739e-002,2.343806e+001,-3.770320e+002,7.838797e+002,1.269736e+002
9.597137e-002,2.121976e+001,-3.043755e+002,5.639720e+002,1.009743e+002
1.033444e-001,1.921240e+001,-2.431692e+002,4.054342e+002,8.022504e+001
1.117482e-001,1.739605e+001,-1.917938e+002,2.912753e+002,6.369026e+001
1.214649e-001,1.575268e+001,-1.488607e+002,2.091587e+002,5.053171e+001
1.329055e-001,1.426602e+001,-1.131807e+002,1.501460e+002,4.007289e+001
1.466984e-001,1.292142e+001,-8.373760e+001,1.077722e+002,3.176947e+001
1.638665e-001,1.170573e+001,-5.966652e+001,7.736978e+001,2.518471e+001
1.862286e-001,1.060730e+001,-4.023481e+001,5.557479e+001,1.996939e+001
2.174616e-001,9.616151e+000,-2.482684e+001,3.996853e+001,1.584578e+001
2.667854e-001,8.724833e+000,-1.292793e+001,2.882315e+001,1.259680e+001
3.716543e-001,7.935320e+000,-4.037616e+000,2.096486e+001,1.007498e+001
5.925869e-001,7.634258e+000,1.763373e-001,1.845611e+001,9.217900e+000
