Mt,Mh_calc,Stability,S_exact,S_approx
0,0,4,-1,-1
0,0.25,4,-1,-1
0,0.5,4,-1,-1
0,0.75,4,-1,-1
0,1,4,-1,-1
0,1.25,4,-1,-1
0,1.5,4,-1,-1
0,1.75,4,-1,-1
0,2,4,-1,-1
0,2.25,4,-1,-1
0,2.5,4,-1,-1
0,2.75,4,-1,-1
0,3,4,-1,-1
0,3.25,4,-1,-1
0,3.5,4,-1,-1
0,3.75,4,-1,-1
0,4,4,-1,-1
0,4.25,4,-1,-1
0,4.5,4,-1,-1
0,4.75,4,-1,-1
0,5,4,-1,-1
0,5.25,4,-1,-1
0,5.5,4,-1,-1
0,5.75,4,-1,-1
0,6,4,-1,-1
0,6.25,4,-1,-1
0,6.5,4,-1,-1
0,6.75,4,-1,-1
0,7,4,-1,-1
0,7.25,4,-1,-1
0,7.5,4,-1,-1
0,7.75,4,-1,-1
0,8,4,-1,-1
0,8.25,4,-1,-1
0,8.5,4,-1,-1
0,8.75,4,-1,-1
0,9,4,-1,-1
0,9.25,4,-1,-1
0,9.5,4,-1,-1
0,9.75,4,-1,-1
0,10,4,-1,-1
0,10.25,4,-1,-1
0,10.5,4,-1,-1
0,10.75,4,-1,-1
0,11,4,-1,-1
0,11.25,4,-1,-1
0,11.5,4,-1,-1
0,11.75,4,-1,-1
0,12,4,-1,-1
0,12.25,4,-1,-1
0,12.5,4,-1,-1
0,12.75,4,-1,-1
0,13,4,-1,-1
0,13.25,4,-1,-1
0,13.5,4,-1,-1
0,13.75,4,-1,-1
0,14,4,-1,-1
0,14.25,4,-1,-1
0,14.5,4,-1,-1
0,14.75,4,-1,-1
0,15,4,-1,-1
0,15.25,4,-1,-1
0,15.5,4,-1,-1
0,15.75,4,-1,-1
0,16,4,-1,-1
0,16.25,4,-1,-1
0,16.5,4,-1,-1
0,16.75,4,-1,-1
0,17,4,-1,-1
0,17.25,4,-1,-1
0,17.5,4,-1,-1
0,17.75,4,-1,-1
0,18,4,-1,-1
0,18.25,4,-1,-1
0,18.5,4,-1,-1
0,18.75,4,-1,-1
0,19,4,-1,-1
0,19.25,4,-1,-1
0,19.5,4,-1,-1
0,19.75,4,-1,-1
0,20,4,-1,-1
0,20.25,4,-1,-1
0,20.5,4,-1,-1
0,20.75,4,-1,-1
0,21,4,-1,-1
0,21.25,4,-1,-1
0,21.5,4,-1,-1
0,21.75,4,-1,-1
0,22,4,-1,-1
0,22.25,4,-1,-1
0,22.5,4,-1,-1
0,22.75,4,-1,-1
0,23,4,-1,-1
0,23.25,4,-1,-1
0,23.5,4,-1,-1
0,23.75,4,-1,-1
0,24,4,-1,-1
0,24.25,4,-1,-1
0,24.5,4,-1,-1
0,24.75,4,-1,-1
0,25,4,-1,-1
0,25.25,4,-1,-1
0,25.5,4,-1,-1
0,25.75,4,-1,-1
0,26,4,-1,-1
0,26.25,4,-1,-1
0,26.5,4,-1,-1
0,26.75,4,-1,-1
0,27,4,-1,-1
0,27.25,4,-1,-1
0,27.5,4,-1,-1
0,27.75,4,-1,-1
0,28,4,-1,-1
0,28.25,4,-1,-1
0,28.5,4,-1,-1
0,28.75,4,-1,-1
0,29,4,-1,-1
0,29.25,4,-1,-1
0,29.5,4,-1,-1
0,29.75,4,-1,-1
0,30,4,-1,-1
0,30.25,4,-1,-1
0,30.5,4,-1,-1
0,30.75,4,-1,-1
0,31,4,-1,-1
0,31.25,4,-1,-1
0,31.5,4,-1,-1
0,31.75,4,-1,-1
0,32,4,-1,-1
0,32.25,4,-1,-1
0,32.5,4,-1,-1
0,32.75,4,-1,-1
0,33,4,-1,-1
0,33.25,4,-1,-1
0,33.5,4,-1,-1
0,33.75,4,-1,-1
0,34,4,-1,-1
0,34.25,4,-1,-1
0,34.5,4,-1,-1
0,34.75,4,-1,-1
0,35,4,-1,-1
0,35.25,4,-1,-1
0,35.5,4,-1,-1
0,35.75,4,-1,-1
0,36,4,-1,-1
0,36.25,4,-1,-1
0,36.5,4,-1,-1
0,36.75,4,-1,-1
0,37,4,-1,-1
0,37.25,4,-1,-1
0,37.5,4,-1,-1
0,37.75,4,-1,-1
0,38,4,-1,-1
0,38.25,4,-1,-1
0,38.5,4,-1,-1
0,38.75,4,-1,-1
0,39,4,-1,-1
0,39.25,4,-1,-1
0,39.5,4,-1,-1
0,39.75,4,-1,-1
0,40,4,-1,-1
0,40.25,4,-1,-1
0,40.5,4,-1,-1
0,40.75,4,-1,-1
0,41,4,-1,-1
0,41.25,4,-1,-1
0,41.5,4,-1,-1
0,41.75,4,-1,-1
0,42,4,-1,-1
0,42.25,4,-1,-1
0,42.5,4,-1,-1
0,42.75,4,-1,-1
0,43,4,-1,-1
0,43.25,4,-1,-1
0,43.5,4,-1,-1
0,43.75,4,-1,-1
0,44,4,-1,-1
0,44.25,4,-1,-1
0,44.5,4,-1,-1
0,44.75,4,-1,-1
0,45,4,-1,-1
0,45.25,4,-1,-1
0,45.5,4,-1,-1
0,45.75,4,-1,-1
0,46,4,-1,-1
0,46.25,4,-1,-1
0,46.5,4,-1,-1
0,46.75,4,-1,-1
0,47,4,-1,-1
0,47.25,4,-1,-1
0,47.5,4,-1,-1
0,47.75,4,-1,-1
0,48,4,-1,-1
0,48.25,4,-1,-1
0,48.5,4,-1,-1
0,48.75,4,-1,-1
0,49,4,-1,-1
0,49.25,4,-1,-1
0,49.5,4,-1,-1
0,49.75,4,-1,-1
0,50,4,-1,-1
0,50.25,4,-1,-1
0,50.5,4,-1,-1
0,50.75,4,-1,-1
0,51,4,-1,-1
0,51.25,4,-1,-1
0,51.5,4,-1,-1
0,51.75,4,-1,-1
0,52,4,-1,-1
0,52.25,4,-1,-1
0,52.5,4,-1,-1
0,52.75,4,-1,-1
0,53,4,-1,-1
0,53.25,4,-1,-1
0,53.5,4,-1,-1
0,53.75,4,-1,-1
0,54,4,-1,-1
0,54.25,4,-1,-1
0,54.5,4,-1,-1
0,54.75,4,-1,-1
0,55,4,-1,-1
0,55.25,4,-1,-1
0,55.5,4,-1,-1
0,55.75,4,-1,-1
0,56,4,-1,-1
0,56.25,4,-1,-1
0,56.5,4,-1,-1
0,56.75,4,-1,-1
0,57,4,-1,-1
0,57.25,4,-1,-1
0,57.5,4,-1,-1
0,57.75,4,-1,-1
0,58,4,-1,-1
0,58.25,4,-1,-1
0,58.5,4,-1,-1
0,58.75,4,-1,-1
0,59,4,-1,-1
0,59.25,4,-1,-1
0,59.5,4,-1,-1
0,59.75,4,-1,-1
0,60,4,-1,-1
0,60.25,4,-1,-1
0,60.5,4,-1,-1
0,60.75,4,-1,-1
0,61,4,-1,-1
0,61.25,4,-1,-1
0,61.5,4,-1,-1
0,61.75,4,-1,-1
0,62,4,-1,-1
0,62.25,4,-1,-1
0,62.5,4,-1,-1
0,62.75,4,-1,-1
0,63,4,-1,-1
0,63.25,4,-1,-1
0,63.5,4,-1,-1
0,63.75,4,-1,-1
0,64,4,-1,-1
0,64.25,4,-1,-1
0,64.5,4,-1,-1
0,64.75,4,-1,-1
0,65,4,-1,-1
0,65.25,4,-1,-1
0,65.5,4,-1,-1
0,65.75,4,-1,-1
0,66,4,-1,-1
0,66.25,4,-1,-1
0,66.5,4,-1,-1
0,66.75,4,-1,-1
0,67,4,-1,-1
0,67.25,4,-1,-1
0,67.5,4,-1,-1
0,67.75,4,-1,-1
0,68,4,-1,-1
0,68.25,4,-1,-1
0,68.5,4,-1,-1
0,68.75,4,-1,-1
0,69,4,-1,-1
0,69.25,4,-1,-1
0,69.5,4,-1,-1
0,69.75,4,-1,-1
0,70,4,-1,-1
0,70.25,4,-1,-1
0,70.5,4,-1,-1
0,70.75,4,-1,-1
0,71,4,-1,-1
0,71.25,4,-1,-1
0,71.5,4,-1,-1
0,71.75,4,-1,-1
0,72,4,-1,-1
0,72.25,4,-1,-1
0,72.5,4,-1,-1
0,72.75,4,-1,-1
0,73,4,-1,-1
0,73.25,4,-1,-1
0,73.5,4,-1,-1
0,73.75,4,-1,-1
0,74,4,-1,-1
0,74.25,4,-1,-1
0,74.5,4,-1,-1
0,74.75,4,-1,-1
0,75,4,-1,-1
0,75.25,4,-1,-1
0,75.5,4,-1,-1
0,75.75,4,-1,-1
0,76,4,-1,-1
0,76.25,4,-1,-1
0,76.5,4,-1,-1
0,76.75,4,-1,-1
0,77,4,-1,-1
0,77.25,4,-1,-1
0,77.5,4,-1,-1
0,77.75,4,-1,-1
0,78,4,-1,-1
0,78.25,4,-1,-1
0,78.5,4,-1,-1
0,78.75,4,-1,-1
0,79,4,-1,-1
0,79.25,4,-1,-1
0,79.5,4,-1,-1
0,79.75,4,-1,-1
0,80,4,-1,-1
0,80.25,4,-1,-1
0,80.5,4,-1,-1
0,80.75,4,-1,-1
0,81,4,-1,-1
0,81.25,4,-1,-1
0,81.5,4,-1,-1
0,81.75,4,-1,-1
0,82,4,-1,-1
0,82.25,4,-1,-1
0,82.5,4,-1,-1
0,82.75,4,-1,-1
0,83,4,-1,-1
0,83.25,4,-1,-1
0,83.5,4,-1,-1
0,83.75,4,-1,-1
0,84,4,-1,-1
0,84.25,4,-1,-1
0,84.5,4,-1,-1
0,84.75,4,-1,-1
0,85,4,-1,-1
0,85.25,4,-1,-1
0,85.5,4,-1,-1
0,85.75,4,-1,-1
0,86,4,-1,-1
0,86.25,4,-1,-1
0,86.5,4,-1,-1
0,86.75,4,-1,-1
0,87,4,-1,-1
0,87.25,4,-1,-1
0,87.5,4,-1,-1
0,87.75,4,-1,-1
0,88,4,-1,-1
0,88.25,4,-1,-1
0,88.5,4,-1,-1
0,88.75,4,-1,-1
0,89,4,-1,-1
0,89.25,4,-1,-1
0,89.5,4,-1,-1
0,89.75,4,-1,-1
0,90,4,-1,-1
0,90.25,4,-1,-1
0,90.5,4,-1,-1
0,90.75,4,-1,-1
0,91,4,-1,-1
0,91.25,4,-1,-1
0,91.5,4,-1,-1
0,91.75,4,-1,-1
0,92,4,-1,-1
0,92.25,4,-1,-1
0,92.5,4,-1,-1
0,92.75,4,-1,-1
0,93,4,-1,-1
0,93.25,4,-1,-1
0,93.5,4,-1,-1
0,93.75,4,-1,-1
0,94,4,-1,-1
0,94.25,4,-1,-1
0,94.5,4,-1,-1
0,94.75,4,-1,-1
0,95,4,-1,-1
0,95.25,4,-1,-1
0,95.5,4,-1,-1
0,95.75,4,-1,-1
0,96,4,-1,-1
0,96.25,4,-1,-1
0,96.5,4,-1,-1
0,96.75,4,-1,-1
0,97,4,-1,-1
0,97.25,4,-1,-1
0,97.5,4,-1,-1
0,97.75,4,-1,-1
0,98,4,-1,-1
0,98.25,4,-1,-1
0,98.5,4,-1,-1
0,98.75,4,-1,-1
0,99,4,-1,-1
0,99.25,4,-1,-1
0,99.5,4,-1,-1
0,99.75,4,-1,-1
0,100,4,-1,-1
0,100.25,4,-1,-1
0,100.5,4,-1,-1
0,100.75,4,-1,-1
0,101,4,-1,-1
0,101.25,4,-1,-1
0,101.5,4,-1,-1
0,101.75,4,-1,-1
0,102,4,-1,-1
0,102.25,4,-1,-1
0,102.5,4,-1,-1
0,102.75,4,-1,-1
0,103,4,-1,-1
0,103.25,4,-1,-1
0,103.5,4,-1,-1
0,103.75,4,-1,-1
0,104,4,-1,-1
0,104.25,4,-1,-1
0,104.5,4,-1,-1
0,104.75,4,-1,-1
0,105,4,-1,-1
0,105.25,4,-1,-1
0,105.5,4,-1,-1
0,105.75,4,-1,-1
0,106,4,-1,-1
0,106.25,4,-1,-1
0,106.5,4,-1,-1
0,106.75,4,-1,-1
0,107,4,-1,-1
0,107.25,4,-1,-1
0,107.5,4,-1,-1
0,107.75,4,-1,-1
0,108,4,-1,-1
0,108.25,4,-1,-1
0,108.5,4,-1,-1
0,108.75,4,-1,-1
0,109,4,-1,-1
0,109.25,4,-1,-1
0,109.5,4,-1,-1
0,109.75,4,-1,-1
0,110,4,-1,-1
0,110.25,4,-1,-1
0,110.5,4,-1,-1
0,110.75,4,-1,-1
0,111,4,-1,-1
0,111.25,4,-1,-1
0,111.5,4,-1,-1
0,111.75,4,-1,-1
0,112,4,-1,-1
0,112.25,4,-1,-1
0,112.5,4,-1,-1
0,112.75,4,-1,-1
0,113,4,-1,-1
0,113.25,4,-1,-1
0,113.5,4,-1,-1
0,113.75,4,-1,-1
0,114,4,-1,-1
0,114.25,4,-1,-1
0,114.5,4,-1,-1
0,114.75,4,-1,-1
0,115,4,-1,-1
0,115.25,4,-1,-1
0,115.5,4,-1,-1
0,115.75,4,-1,-1
0,116,4,-1,-1
0,116.25,4,-1,-1
0,116.5,4,-1,-1
0,116.75,4,-1,-1
0,117,4,-1,-1
0,117.25,4,-1,-1
0,117.5,4,-1,-1
0,117.75,4,-1,-1
0,118,4,-1,-1
0,118.25,4,-1,-1
0,118.5,4,-1,-1
0,118.75,4,-1,-1
0,119,4,-1,-1
0,119.25,4,-1,-1
0,119.5,4,-1,-1
0,119.75,4,-1,-1
0,120,4,-1,-1
0,120.25,4,-1,-1
0,120.5,4,-1,-1
0,120.75,4,-1,-1
0,121,4,-1,-1
0,121.25,4,-1,-1
0,121.5,4,-1,-1
0,121.75,4,-1,-1
0,122,4,-1,-1
0,122.25,4,-1,-1
0,122.5,4,-1,-1
0,122.75,4,-1,-1
0,123,4,-1,-1
0,123.25,4,-1,-1
0,123.5,4,-1,-1
0,123.75,4,-1,-1
0,124,4,-1,-1
0,124.25,4,-1,-1
0,124.5,4,-1,-1
0,124.75,4,-1,-1
0,125,4,-1,-1
0,125.25,4,-1,-1
0,125.5,4,-1,-1
0,125.75,4,-1,-1
0,126,4,-1,-1
0,126.25,4,-1,-1
0,126.5,4,-1,-1
0,126.75,4,-1,-1
0,127,4,-1,-1
0,127.25,4,-1,-1
0,127.5,4,-1,-1
0,127.75,4,-1,-1
0,128,4,-1,-1
0,128.25,4,-1,-1
0,128.5,4,-1,-1
0,128.75,4,-1,-1
0,129,4,-1,-1
0,129.25,4,-1,-1
0,129.5,4,-1,-1
0,129.75,4,-1,-1
0,130,4,-1,-1
0,130.25,4,-1,-1
0,130.5,4,-1,-1
0,130.75,4,-1,-1
0,131,4,-1,-1
0,131.25,4,-1,-1
0,131.5,4,-1,-1
0,131.75,4,-1,-1
0,132,4,-1,-1
0,132.25,4,-1,-1
0,132.5,4,-1,-1
0,132.75,4,-1,-1
0,133,4,-1,-1
0,133.25,4,-1,-1
0,133.5,4,-1,-1
0,133.75,4,-1,-1
0,134,4,-1,-1
0,134.25,4,-1,-1
0,134.5,4,-1,-1
0,134.75,4,-1,-1
0,135,4,-1,-1
0,135.25,4,-1,-1
0,135.5,4,-1,-1
0,135.75,4,-1,-1
0,136,4,-1,-1
0,136.25,4,-1,-1
0,136.5,4,-1,-1
0,136.75,4,-1,-1
0,137,4,-1,-1
0,137.25,4,-1,-1
0,137.5,4,-1,-1
0,137.75,4,-1,-1
0,138,4,-1,-1
0,138.25,4,-1,-1
0,138.5,4,-1,-1
0,138.75,4,-1,-1
0,139,4,-1,-1
0,139.25,4,-1,-1
0,139.5,4,-1,-1
0,139.75,4,-1,-1
0,140,4,-1,-1
0,140.25,4,-1,-1
0,140.5,4,-1,-1
0,140.75,4,-1,-1
0,141,4,-1,-1
0,141.25,4,-1,-1
0,141.5,4,-1,-1
0,141.75,4,-1,-1
0,142,4,-1,-1
0,142.25,4,-1,-1
0,142.5,4,-1,-1
0,142.75,4,-1,-1
0,143,4,-1,-1
0,143.25,4,-1,-1
0,143.5,4,-1,-1
0,143.75,4,-1,-1
0,144,4,-1,-1
0,144.25,4,-1,-1
0,144.5,4,-1,-1
0,144.75,4,-1,-1
0,145,4,-1,-1
0,145.25,4,-1,-1
0,145.5,4,-1,-1
0,145.75,4,-1,-1
0,146,4,-1,-1
0,146.25,4,-1,-1
0,146.5,4,-1,-1
0,146.75,4,-1,-1
0,147,4,-1,-1
0,147.25,4,-1,-1
0,147.5,4,-1,-1
0,147.75,4,-1,-1
0,148,4,-1,-1
0,148.25,4,-1,-1
0,148.5,4,-1,-1
0,148.75,4,-1,-1
0,149,4,-1,-1
0,149.25,4,-1,-1
0,149.5,4,-1,-1
0,149.75,4,-1,-1
0,150,4,-1,-1
0,150.25,4,-1,-1
0,150.5,4,-1,-1
0,150.75,4,-1,-1
0,151,4,-1,-1
0,151.25,4,-1,-1
0,151.5,4,-1,-1
0,151.75,4,-1,-1
0,152,4,-1,-1
0,152.25,4,-1,-1
0,152.5,4,-1,-1
0,152.75,4,-1,-1
0,153,4,-1,-1
0,153.25,4,-1,-1
0,153.5,4,-1,-1
0,153.75,4,-1,-1
0,154,4,-1,-1
0,154.25,4,-1,-1
0,154.5,4,-1,-1
0,154.75,4,-1,-1
0,155,4,-1,-1
