phi,dV_fd,dV_ana
100,0,0
103.757,0,0
107.654,0,0
111.699,0,0
115.895,0,0
120.249,0,0
124.766,0,0
129.453,0,0
134.316,0,0
139.362,0,0
144.597,0,0
150.029,0,0
155.665,0,0
161.513,0,0
167.581,0,0
173.876,0,0
180.408,0,0
187.186,0,0
194.217,0,0
201.514,0,0
209.084,0,0
216.938,0,0
225.088,0,0
233.544,0,0
242.317,0,0
251.42,5119.82,7153.56
260.865,4256.19,6447.96
270.665,4018.69,6467.41
280.833,2729.66,5367.24
291.383,1123.58,3962.96
302.329,-852.162,2202.58
313.687,-1977.74,1435.18
325.471,-4742.3,-1072.87
337.698,-8068.91,-4126.39
350.384,-12045.5,-7812.64
363.547,-14877.7,-10148.5
377.204,-20261.7,-15188.2
391.375,-26617.5,-21179.1
406.077,-34090.4,-28266
421.332,-40039.1,-33531.6
437.16,-49956.6,-42993.9
453.583,-61523.3,-54081
470.622,-6.61792e+006,-67030.7
488.302,-86427.4,-77549
506.646,-104044,-94575.2
525.679,-124418,-114333
545.427,-142378,-131110
565.917,-168868,-156883
587.177,-199368,-186638
609.235,-234428,-220929
632.122,-266420,-251338
655.869,-311645,-295679
680.507,-363452,-346583
706.072,-422727,-404943
732.597,-478216,-458344
760.118,-554206,-533304
788.673,-640915,-618984
818.301,-739758,-716814
849.042,-834116,-808480
880.937,-960206,-933472
914.031,-1.10362e+006,-1.07584e+006
948.368,-1.26662e+006,-1.23787e+006
983.995,-1.42465e+006,-1.39253e+006
1020.96,-1.63174e+006,-1.59865e+006
1059.31,-1.86667e+006,-1.83277e+006
1099.11,-2.09672e+006,-2.05884e+006
1140.4,-2.39447e+006,-2.35591e+006
1183.24,-2.73171e+006,-2.69274e+006
1227.69,-3.11344e+006,-3.07441e+006
1273.81,-3.49127e+006,-3.44766e+006
1321.66,-3.9736e+006,-3.9304e+006
1371.31,-4.51881e+006,-4.4766e+006
1422.83,-5.1348e+006,-5.09426e+006
1476.28,-5.74996e+006,-5.70466e+006
1531.74,-6.52623e+006,-6.48374e+006
1589.28,-7.40222e+006,-7.36365e+006
1648.99,-8.39031e+006,-8.35696e+006
1710.93,-9.38446e+006,-9.3472e+006
1775.21,-1.06268e+007,-1.05971e+007
1841.9,-1.20266e+007,-1.20065e+007
1911.09,-1.36033e+007,-1.35952e+007
1982.88,-1.51997e+007,-1.51907e+007
2057.37,-1.7178e+007,-1.71854e+007
2134.66,-1.94041e+007,-1.94317e+007
2214.86,-2.16682e+007,-2.16991e+007
2298.06,-2.44577e+007,-2.45157e+007
2384.39,-2.75939e+007,-2.76846e+007
2473.96,-3.11189e+007,-3.12486e+007
2566.9,-3.47213e+007,-3.48662e+007
2663.33,-3.91307e+007,-3.93273e+007
2763.39,-4.40827e+007,-4.43404e+007
2867.2,-4.96427e+007,-4.99723e+007
2974.91,-5.53485e+007,-5.57169e+007
3086.66,-6.22923e+007,-6.27549e+007
3202.62,-7.00829e+007,-7.06559e+007
3322.93,-7.88214e+007,-7.9523e+007
3447.76,-8.78215e+007,-8.86054e+007
3577.29,-9.87187e+007,-9.96699e+007
3711.67,-1.10934e+008,-1.12079e+008
3851.11,-1.24623e+008,-1.25993e+008
3995.78,-1.38766e+008,-1.40296e+008
4145.89,-1.55813e+008,-1.57634e+008
4301.64,-1.74905e+008,-1.77061e+008
4463.23,-1.94676e+008,-1.97086e+008
4630.9,-2.1843e+008,-2.21271e+008
4804.87,-2.45018e+008,-2.48356e+008
4985.37,-2.74772e+008,-2.7868e+008
5172.66,-3.05659e+008,-3.10026e+008
5366.98,-3.42631e+008,-3.47729e+008
5568.6,-3.83982e+008,-3.89919e+008
5777.79,-4.30223e+008,-4.3712e+008
5994.84,-4.78325e+008,-4.86032e+008
6220.05,-5.35713e+008,-5.44647e+008
6453.72,-5.99852e+008,-6.10188e+008
6696.16,-6.71524e+008,-6.83461e+008
6947.71,-7.46215e+008,-7.59554e+008
7208.72,-8.35061e+008,-8.5044e+008
7479.52,-9.3429e+008,-9.51995e+008
7760.5,-1.0451e+009,-1.06545e+009
8052.04,-1.16075e+009,-1.18349e+009
8354.53,-1.29795e+009,-1.32406e+009
8668.38,-1.45108e+009,-1.48102e+009
8994.02,-1.62196e+009,-1.65626e+009
9331.9,-1.80055e+009,-1.83888e+009
9682.47,-2.0119e+009,-2.05575e+009
10046.2,-2.24763e+009,-2.29777e+009
10423.6,-2.49425e+009,-2.55027e+009
10815.2,-2.78557e+009,-2.84955e+009
11221.5,-3.11035e+009,-3.18336e+009
11643,-3.47238e+009,-3.55561e+009
12080.4,-3.85145e+009,-3.94447e+009
12534.2,-4.29834e+009,-4.40431e+009
13005.1,-4.79623e+009,-4.91688e+009
13493.7,-5.35088e+009,-5.48813e+009
14000.6,-5.93205e+009,-6.08543e+009
14526.5,-6.61593e+009,-6.79031e+009
15072.3,-7.37739e+009,-7.57552e+009
15638.5,-8.22511e+009,-8.4501e+009
16226,-9.11382e+009,-9.36524e+009
16835.5,-1.01578e+010,-1.04432e+010
17468,-1.13196e+010,-1.16433e+010
18124.2,-1.26121e+010,-1.29791e+010
18805,-1.39675e+010,-1.43776e+010
19511.5,-1.55575e+010,-1.60222e+010
20244.5,-1.73255e+010,-1.78519e+010
21005,-1.91802e+010,-1.97684e+010
21794.1,-2.13532e+010,-2.20192e+010
22612.8,-2.37685e+010,-2.45222e+010
23462.3,-2.64526e+010,-2.73052e+010
24343.7,-2.92681e+010,-3.02209e+010
25258.2,-3.25627e+010,-3.36403e+010
26207.1,-3.62224e+010,-3.74404e+010
27191.6,-4.02866e+010,-4.1663e+010
28213.1,-4.45487e+010,-4.60869e+010
29272.9,-4.95309e+010,-5.12685e+010
30372.6,-5.50611e+010,-5.70233e+010
31513.6,-6.11986e+010,-6.34137e+010
32697.5,-6.7632e+010,-7.01074e+010
33925.8,-7.51452e+010,-7.79389e+010
35200.3,-8.34788e+010,-8.66308e+010
36522.7,-9.27207e+010,-9.62759e+010
37894.7,-1.02402e+011,-1.06375e+011
39318.3,-1.13699e+011,-1.18179e+011
40795.3,-1.2622e+011,-1.31271e+011
42327.9,-1.3933e+011,-1.44974e+011
43918,-1.54617e+011,-1.60979e+011
45567.9,-1.71551e+011,-1.78719e+011
47279.7,-1.90305e+011,-1.98379e+011
49055.8,-2.09919e+011,-2.18942e+011
50898.7,-2.32777e+011,-2.4294e+011
52810.8,-2.58076e+011,-2.6952e+011
54794.7,-2.8607e+011,-2.98953e+011
56853.2,-3.15308e+011,-3.29706e+011
58989,-3.49368e+011,-3.65573e+011
61205,-3.87029e+011,-4.05265e+011
63504.3,-4.28663e+011,-4.4918e+011
65889.9,-4.72075e+011,-4.95004e+011
68365.2,-5.22629e+011,-5.48423e+011
70933.4,-5.78474e+011,-6.07484e+011
73598.1,-6.40147e+011,-6.72769e+011
76363,-7.04324e+011,-7.4078e+011
79231.7,-7.79046e+011,-8.20035e+011
82208.2,-8.61498e+011,-9.07574e+011
85296.4,-9.65401e+012,-9.98643e+011
88500.7,-1.04687e+012,-1.10474e+012
91825.4,-1.1568e+012,-1.22183e+012
95275,-1.27795e+012,-1.35103e+012
98854.2,-1.40345e+012,-1.48512e+012
102568,-1.54957e+012,-1.64132e+012
106421,-1.71045e+012,-1.81351e+012
110419,-1.88751e+012,-2.00326e+012
114567,-2.07029e+012,-2.19965e+012
118871,-2.28319e+012,-2.42845e+012
123336,-2.51723e+012,-2.68034e+012
127970,-2.7744e+012,-2.95752e+012
132777,-3.03879e+012,-3.24344e+012
137765,-3.34692e+012,-3.57665e+012
142940,-3.68506e+012,-3.94291e+012
148310,-4.05595e+012,-4.34533e+012
153882,-4.43532e+012,-4.75872e+012
159663,-4.87787e+012,-5.24077e+012
165661,-5.36251e+012,-5.7697e+012
171884,-5.89296e+012,-6.34978e+012
178341,-6.43216e+012,-6.94269e+012
185041,-7.06196e+012,-7.63467e+012
191992,-7.74998e+012,-8.39238e+012
199205,-8.44543e+012,-9.16335e+012
206688,-9.2587e+012,-1.00639e+013
214453,-1.01452e+013,-1.10481e+013
222509,-1.11107e+013,-1.21232e+013
230868,-1.20775e+013,-1.32091e+013
239541,-1.32108e+013,-1.44795e+013
248539,-1.44416e+013,-1.58641e+013
257876,-1.57772e+013,-1.73719e+013
267564,-1.70985e+013,-1.88806e+013
277615,-1.86521e+013,-2.06497e+013
288044,-2.03318e+013,-2.25709e+013
298865,-2.21457e+013,-2.46551e+013
310093,-2.3911e+013,-2.67155e+013
321742,-2.5996e+013,-2.91388e+013
333829,-2.82367e+013,-3.17584e+013
346369,-3.06405e+013,-3.45865e+013
359381,-3.29269e+013,-3.73369e+013
372882,-3.56452e+013,-4.05861e+013
386890,-3.85416e+013,-4.4077e+013
401424,-4.12296e+013,-4.74158e+013
416504,-4.44486e+013,-5.13786e+013
432151,-4.78468e+013,-5.56094e+013
448386,-5.1421e+013,-6.01156e+013
465230,-5.4576e+013,-6.42929e+013
482707,-5.84137e+013,-6.92967e+013
500841,-6.23881e+013,-7.45761e+013
519656,-6.64769e+013,-8.01255e+013
539177,-6.97627e+013,-8.50162e+013
559433,-7.3886e+013,-9.09665e+013
580449,-7.79978e+013,-9.71229e+013
602254,-8.20368e+013,-1.0345e+014
624879,-8.45871e+013,-1.08518e+014
648353,-8.80883e+013,-1.14881e+014
672710,-9.12193e+013,-1.21213e+014
697981,-9.38422e+013,-1.27419e+014
724202,-9.37692e+013,-1.31294e+014
751408,-9.46246e+013,-1.36629e+014
779636,-9.43498e+013,-1.41366e+014
808924,-8.99143e+013,-1.42459e+014
839313,-8.61818e+013,-1.44992e+014
870843,-8.02822e+013,-1.46102e+014
903558,-7.17528e+013,-1.45414e+014
937502,-5.59018e+013,-1.38225e+014
972720,-3.99391e+013,-1.32065e+014
1.00926e+006,-1.93826e+013,-1.22473e+014
1.04718e+006,6.63374e+012,-1.08721e+014
1.08652e+006,4.53823e+013,-8.35373e+013
1.12733e+006,8.619e+013,-5.80596e+013
1.16968e+006,1.36064e+014,-2.53312e+013
1.21362e+006,1.9658e+014,1.60108e+013
1.25922e+006,2.79024e+014,7.72209e+013
1.30652e+006,3.67619e+014,1.41851e+014
1.3556e+006,4.7333e+014,2.20763e+014
1.40653e+006,5.98972e+014,3.16435e+014
1.45937e+006,7.62068e+014,4.46308e+014
1.51419e+006,9.39344e+014,5.86132e+014
1.57107e+006,1.14797e+015,7.52884e+014
1.63009e+006,5.73045e+015,9.50984e+014
1.69133e+006,1.70136e+015,1.20748e+015
1.75487e+006,2.03909e+015,1.4867e+015
1.82079e+006,2.433e+015,1.8152e+015
1.88919e+006,2.92104e+015,2.23058e+015
1.96016e+006,3.45749e+015,2.6853e+015
2.0338e+006,4.08009e+015,3.21652e+015
2.1102e+006,4.80171e+015,3.83599e+015
2.18948e+006,5.68143e+015,4.60215e+015
2.27173e+006,6.65219e+015,5.44528e+015
2.35707e+006,7.77323e+015,6.42364e+015
2.44562e+006,9.0665e+015,7.55743e+015
2.53749e+006,1.06241e+016,8.93758e+015
2.63282e+006,1.23479e+016,1.04621e+016
2.73172e+006,1.43309e+016,1.22224e+016
2.83434e+006,1.66103e+016,1.4253e+016
2.94082e+006,1.93299e+016,1.66953e+016
3.0513e+006,2.23462e+016,1.94008e+016
3.16592e+006,2.58058e+016,2.25128e+016
3.28486e+006,2.97711e+016,2.60897e+016
3.40826e+006,3.44664e+016,3.03521e+016
3.5363e+006,3.96833e+016,3.50839e+016
3.66914e+006,4.56521e+016,4.05105e+016
3.80698e+006,5.2686e+016,4.69398e+016
3.95e+006,6.05097e+016,5.40864e+016
4.09838e+006,6.94468e+016,6.22668e+016
4.25235e+006,7.9651e+016,7.16254e+016
4.41209e+006,9.16124e+016,8.2643e+016
4.57784e+006,1.04933e+017,9.49073e+016
4.74981e+006,1.20122e+017,1.08916e+017
4.92825e+006,1.37434e+017,1.2491e+017
5.11339e+006,1.57637e+017,1.43641e+017
5.30548e+006,1.80158e+017,1.64514e+017
5.50479e+006,2.05799e+017,1.88315e+017
5.71159e+006,2.34982e+017,2.15443e+017
5.92615e+006,2.68908e+017,2.47071e+017
6.14878e+006,3.06756e+017,2.82353e+017
6.37977e+006,3.49792e+017,3.2252e+017
6.61943e+006,3.98713e+017,3.68236e+017
6.8681e+006,4.55396e+017,4.21336e+017
7.12612e+006,5.18676e+017,4.80615e+017
7.39382e+006,5.90547e+017,5.48017e+017
7.67158e+006,6.73642e+017,6.2611e+017
7.95978e+006,7.66446e+017,7.13333e+017
8.2588e+006,8.71769e+017,8.12421e+017
8.56906e+006,9.91272e+017,9.24959e+017
8.89097e+006,1.12908e+018,1.05497e+018
9.22497e+006,1.28307e+018,1.20026e+018
9.57152e+006,1.45767e+018,1.36515e+018
9.93109e+006,1.6556e+018,1.55223e+018
1.03042e+007,1.88334e+018,1.76781e+018
1.06913e+007,2.13792e+018,2.00885e+018
1.10929e+007,2.42635e+018,2.28215e+018
1.15096e+007,2.75306e+018,2.59195e+018
1.1942e+007,3.12821e+018,2.94816e+018
1.23906e+007,3.54773e+018,3.34658e+018
1.28561e+007,4.02268e+018,3.79796e+018
1.33391e+007,4.56028e+018,4.30924e+018
1.38402e+007,5.17648e+018,4.89592e+018
1.43601e+007,5.86579e+018,5.55237e+018
1.48996e+007,6.64565e+018,6.29553e+018
1.54593e+007,7.53844e+018,7.14715e+018
1.604e+007,8.53734e+018,8.10025e+018
1.66426e+007,9.66694e+018,9.17868e+018
1.72678e+007,1.09442e+019,1.03988e+019
1.79165e+007,1.24042e+019,1.17946e+019
1.85896e+007,1.40381e+019,1.33572e+019
1.92879e+007,1.58847e+019,1.51242e+019
2.00125e+007,1.79716e+019,1.71221e+019
2.07643e+007,2.03539e+019,1.94046e+019
2.15443e+007,2.30206e+019,2.19602e+019
2.23537e+007,2.60329e+019,2.48485e+019
2.31935e+007,2.94353e+019,2.81125e+019
2.40648e+007,3.33147e+019,3.18363e+019
2.49688e+007,3.76579e+019,3.60067e+019
2.59068e+007,4.25618e+019,4.07176e+019
