phi,dV_fd,dV_analytic
100,0,0
112.202,0,0
125.893,0,0
141.254,0,0
158.489,0,0
177.828,0,0
199.526,0,0
223.872,0,0
251.189,5120.9,7149.01
281.838,2681.48,5347.54
316.228,-3558.94,-193.988
354.813,-12958.7,-8562.92
398.107,-28812.3,-23087.7
446.684,-54601.7,-47172.7
501.187,-99903.7,-90738.8
562.341,-165077,-153317
630.957,-264724,-249724
707.946,-426494,-408567
794.328,-656123,-633716
891.251,-996997,-969310
1000,-1.52791e+006,-1.49683e+006
1122.02,-2.27554e+006,-2.23882e+006
1258.93,-3.36611e+006,-3.32402e+006
1412.54,-4.95042e+006,-4.90426e+006
1584.89,-7.34011e+006,-7.30186e+006
1778.28,-1.06825e+007,-1.06527e+007
1995.26,-1.5487e+007,-1.54778e+007
2238.72,-2.26205e+007,-2.26742e+007
2511.89,-3.25573e+007,-3.2693e+007
2818.38,-4.67276e+007,-4.7001e+007
3162.28,-6.75208e+007,-6.80723e+007
3548.13,-9.63833e+007,-9.73113e+007
3981.07,-1.37282e+008,-1.38796e+008
4466.84,-1.96743e+008,-1.99292e+008
5011.87,-2.79012e+008,-2.82983e+008
5623.41,-3.94965e+008,-4.01079e+008
6309.57,-5.58132e+008,-5.67459e+008
7079.46,-7.93017e+008,-8.0758e+008
7943.28,-1.11669e+009,-1.13852e+009
8912.51,-1.57003e+009,-1.60259e+009
10000,-2.21857e+009,-2.26801e+009
11220.2,-3.10934e+009,-3.18232e+009
12589.3,-4.35146e+009,-4.45884e+009
14125.4,-6.1184e+009,-6.27867e+009
15848.9,-8.53685e+009,-8.77108e+009
17782.8,-1.18943e+010,-1.22359e+010
19952.6,-1.65485e+010,-1.70456e+010
22387.2,-2.31224e+010,-2.38537e+010
25118.9,-3.20734e+010,-3.31331e+010
28183.8,-4.4423e+010,-4.59563e+010
31622.8,-6.17751e+010,-6.40134e+010
35481.3,-8.52899e+010,-8.85183e+010
39810.7,-1.17564e+011,-1.22215e+011
44668.4,-1.62663e+011,-1.69413e+011
50118.7,-2.23432e+011,-2.33133e+011
56234.1,-3.06335e+011,-3.20265e+011
63095.7,-4.19174e+011,-4.39161e+011
70794.6,-5.75535e+011,-6.04374e+011
79432.8,-7.8416e+011,-8.25463e+011
89125.1,-1.06587e+012,-1.12498e+012
100000,-1.45327e+012,-1.53827e+012
112202,-1.96491e+012,-2.08639e+012
125893,-2.64862e+012,-2.82213e+012
141254,-3.57971e+012,-3.8285e+012
158489,-4.79201e+012,-5.14693e+012
177828,-6.38843e+012,-6.89456e+012
199526,-8.47712e+012,-9.19854e+012
223872,-1.12659e+013,-1.22972e+013
251189,-1.47841e+013,-1.62528e+013
281838,-1.92644e+013,-2.13551e+013
316228,-2.5094e+013,-2.80772e+013
354813,-3.21206e+013,-3.63637e+013
398107,-4.06156e+013,-4.66489e+013
446684,-5.10988e+013,-5.96943e+013
501187,-6.24502e+013,-7.46636e+013
562341,-7.4326e+013,-9.16756e+013
630957,-8.65502e+013,-1.11234e+014
707946,-9.39507e+013,-1.28993e+014
794328,-9.23681e+013,-1.42106e+014
891251,-7.30031e+013,-1.43584e+014
1e+006,-2.62403e+013,-1.26505e+014
1.12202e+006,7.96086e+013,-6.26008e+013
1.25893e+006,2.7846e+014,7.67969e+013
1.41254e+006,6.16437e+014,3.30245e+014
1.58489e+006,1.20693e+015,8.01269e+014
1.77828e+006,2.18267e+015,1.60776e+015
1.99526e+006,3.72785e+015,2.91268e+015
2.23872e+006,6.23134e+015,5.07652e+015
2.51189e+006,1.01732e+016,8.53743e+015
2.81838e+006,1.63166e+016,1.39999e+016
3.16228e+006,2.56865e+016,2.24049e+016
3.54813e+006,4.02073e+016,3.55613e+016
3.98107e+006,6.2361e+016,5.57841e+016
4.46684e+006,9.56557e+016,8.63454e+016
5.01187e+006,1.46322e+017,1.33146e+017
5.62341e+006,2.22569e+017,2.03925e+017
6.30957e+006,3.36039e+017,3.09662e+017
7.07946e+006,5.06595e+017,4.6928e+017
7.94328e+006,7.60816e+017,7.08034e+017
8.91251e+006,1.13875e+018,1.0641e+018
1e+007,1.69614e+018,1.59059e+018
1.12202e+007,2.52445e+018,2.3752e+018
1.25893e+007,3.74793e+018,3.5369e+018
1.41254e+007,5.54353e+018,5.24531e+018
1.58489e+007,8.19542e+018,7.77384e+018
1.77828e+007,1.20928e+019,1.14969e+019
1.99526e+007,1.77906e+019,1.69488e+019
2.23872e+007,2.61644e+019,2.49747e+019
2.51189e+007,3.84216e+019,3.67403e+019
2.81838e+007,5.62842e+019,5.39101e+019
3.16228e+007,8.24323e+019,7.90778e+019
3.54813e+007,1.2058e+020,1.15841e+020
3.98107e+007,1.76179e+020,1.69483e+020
4.46684e+007,2.56927e+020,2.47476e+020
5.01187e+007,3.74626e+020,3.61276e+020
5.62341e+007,5.4572e+020,5.26865e+020
6.30957e+007,7.93681e+020,7.67074e+020
7.07946e+007,1.15417e+021,1.11659e+021
7.94328e+007,1.67702e+021,1.62396e+021
8.91251e+007,2.4334e+021,2.35854e+021
1e+008,3.53056e+021,3.42485e+021
