step,r,phi,dphi,dV,dr,truncation_error,friction
1,0.0001,9997.16,-56700.2,-2.26619e+009,0.0001,3.7035,-1.70101e+009
2,0.0002,9988.67,-113162,-2.26075e+009,0.000882686,3207.56,-1.69743e+009
3,0.00108269,9679.31,-573474,-2.05386e+009,0.000168784,0.642014,-1.58903e+009
4,0.00125147,9576.03,-649492,-1.9924e+009,0.000147439,0.22321,-1.55695e+009
5,0.00139891,9475.64,-711666,-1.93381e+009,0.000133147,129.65,-1.52619e+009
6,0.00153206,9377.41,-762993,-1.86442e+009,0.000122903,0.033601,-1.49406e+009
7,0.00165496,9280.9,-807118,-1.81052e+009,0.000114988,0.0184007,-1.46309e+009
8,0.00176995,9185.84,-845779,-1.75843e+009,0.000108608,0.0100652,-1.43357e+009
9,0.00187856,9092.11,-879873,-1.70801e+009,0.000103334,0.00547199,-1.40513e+009
10,0.00198189,8999.61,-910073,-1.65918e+009,9.88888e-005,83.209,-1.37758e+009
11,0.00208078,8908.31,-935924,-1.60045e+009,9.5182e-005,0.00103946,-1.34939e+009
12,0.00217596,8818.12,-958951,-1.55485e+009,9.19559e-005,0.00041469,-1.32211e+009
13,0.00226792,8728.98,-979533,-1.51062e+009,8.91137e-005,3.39736e-005,-1.29573e+009
14,0.00235703,8640.86,-997911,-1.46771e+009,8.65895e-005,0.000199312,-1.27013e+009
15,0.00244362,8553.73,-1.01429e+006,-1.42605e+009,8.4332e-005,64.6684,-1.24523e+009
16,0.00252795,8467.6,-1.02812e+006,-1.37567e+009,8.23604e-005,0.000381378,-1.2201e+009
17,0.00261031,8382.41,-1.04033e+006,-1.33667e+009,8.05746e-005,0.000391968,-1.19564e+009
18,0.00269089,8298.15,-1.05112e+006,-1.2988e+009,7.89455e-005,0.000386241,-1.17187e+009
19,0.00276983,8214.78,-1.0606e+006,-1.26202e+009,7.74538e-005,57.4048,-1.14874e+009
20,0.00284729,8132.31,-1.06881e+006,-1.21741e+009,7.60876e-005,0.000326011,-1.12613e+009
21,0.00292337,8050.73,-1.0753e+006,-1.18295e+009,7.48694e-005,0.000302768,-1.10349e+009
22,0.00299824,7970.02,-1.08082e+006,-1.14947e+009,7.37403e-005,0.000279067,-1.08146e+009
23,0.00307198,7890.14,-1.08543e+006,-1.11695e+009,7.26915e-005,0.000255689,-1.05999e+009
24,0.00314467,7811.1,-1.08918e+006,-1.08536e+009,7.17154e-005,46.3424,-1.03907e+009
25,0.00321639,7732.88,-1.09208e+006,-1.04692e+009,7.08085e-005,0.000194501,-1.01861e+009
26,0.0032872,7655.48,-1.09376e+006,-1.0173e+009,6.99923e-005,0.000176817,-9.98201e+008
27,0.00335719,7578.89,-1.09479e+006,-9.88531e+008,6.92271e-005,0.000160358,-9.78306e+008
28,0.00342642,7503.08,-1.0952e+006,-9.60578e+008,6.8509e-005,0.000145137,-9.589e+008
29,0.00349493,7428.06,-1.09503e+006,-9.33419e+008,6.78343e-005,38.2296,-9.39959e+008
30,0.00356276,7353.8,-1.09428e+006,-9.00271e+008,6.72023e-005,0.00010759,-9.2143e+008
31,0.00362996,7280.31,-1.09262e+006,-8.74802e+008,6.66318e-005,9.72892e-005,-9.03e+008
