Mt,Mh_calc,Stability,S_exact,S_approx
104,151,1,-1,-1
104,152,1,-1,-1
104,153,1,-1,-1
104,154,1,-1,-1
104,155,1,-1,-1
104,156,1,-1,-1
104,157,1,-1,-1
104,158,1,-1,-1
104,159,1,-1,-1
104,160,1,-1,-1
104,161,1,-1,-1
104,162,4,-1,-1
104,163,4,-1,-1
104,164,4,-1,-1
104,165,4,-1,-1
104,166,4,-1,-1
104,167,4,-1,-1
104,168,4,-1,-1
104,169,4,-1,-1
104,170,4,-1,-1
104,171,4,-1,-1
104,172,4,-1,-1
104,173,4,-1,-1
104,174,4,-1,-1
104,175,4,-1,-1
104,176,4,-1,-1
104,177,4,-1,-1
104,178,4,-1,-1
104,179,4,-1,-1
104,180,4,-1,-1
104,181,4,-1,-1
104,182,4,-1,-1
104,183,4,-1,-1
104,184,4,-1,-1
104,185,4,-1,-1
104,186,4,-1,-1
104,187,4,-1,-1
104,188,4,-1,-1
104,189,4,-1,-1
104,190,4,-1,-1
104,191,4,-1,-1
104,192,4,-1,-1
104,193,4,-1,-1
104,194,4,-1,-1
104,195,4,-1,-1
104,196,4,-1,-1
104,197,4,-1,-1
104,198,4,-1,-1
104,199,4,-1,-1
104,200,4,-1,-1
104,201,4,-1,-1
104,202,4,-1,-1
104,203,4,-1,-1
104,204,4,-1,-1
104,205,4,-1,-1
104,206,4,-1,-1
104,207,4,-1,-1
104,208,4,-1,-1
104,209,4,-1,-1
104,210,4,-1,-1
104,211,4,-1,-1
104,212,4,-1,-1
104,213,4,-1,-1
104,214,4,-1,-1
104,215,4,-1,-1
104,216,4,-1,-1
104,217,4,-1,-1
104,218,4,-1,-1
104,219,4,-1,-1
104,220,4,-1,-1
104,221,4,-1,-1
104,222,4,-1,-1
104,223,4,-1,-1
104,224,4,-1,-1
104,225,4,-1,-1
104,226,4,-1,-1
104,227,4,-1,-1
104,228,4,-1,-1
104,229,4,-1,-1
104,230,4,-1,-1
104,231,4,-1,-1
104,232,4,-1,-1
104,233,4,-1,-1
104,234,4,-1,-1
104,235,4,-1,-1
104,236,4,-1,-1
104,237,4,-1,-1
104,238,4,-1,-1
104,239,4,-1,-1
104,240,4,-1,-1
104,241,4,-1,-1
104,242,4,-1,-1
104,243,4,-1,-1
104,244,4,-1,-1
104,245,4,-1,-1
104,246,4,-1,-1
104,247,4,-1,-1
104,248,4,-1,-1
104,249,4,-1,-1
104,250,4,-1,-1
105,0,2,1.00688e+006,10434.9
105,1,3,1.77634e-009,10467.9
105,2,3,-2.14649e+009,10568.1
105,3,2,5.5563e+006,10739.4
105,4,2,1.49792e+014,10988.8
105,5,3,-1.24945e+007,11327.1
105,6,3,-1.70998e+007,11770
105,7,2,6.10721e+015,12340.3
105,8,3,-4.31603e+007,13070.8
105,9,2,3.15791e+007,14010.8
105,10,3,-9.98319e+007,15235.8
105,11,3,-1.83156e+008,16865.9
105,12,3,-3.15604e+008,19105.3
105,13,3,-5.13475e+008,22328.6
105,14,3,-1.29472e+009,27305.3
105,15,2,1e+100,35896.9
105,16,2,1e+100,54097.5
105,17,2,1e+100,117584
105,18,1,-1,-1
105,19,1,-1,-1
105,20,1,-1,-1
105,21,1,-1,-1
105,22,1,-1,-1
105,23,1,-1,-1
105,24,1,-1,-1
105,25,1,-1,-1
105,26,1,-1,-1
105,27,1,-1,-1
105,28,1,-1,-1
105,29,1,-1,-1
105,30,1,-1,-1
105,31,1,-1,-1
105,32,1,-1,-1
105,33,1,-1,-1
105,34,1,-1,-1
105,35,1,-1,-1
105,36,1,-1,-1
105,37,1,-1,-1
105,38,1,-1,-1
105,39,1,-1,-1
105,40,1,-1,-1
105,41,1,-1,-1
105,42,1,-1,-1
105,43,1,-1,-1
105,44,1,-1,-1
105,45,1,-1,-1
105,46,1,-1,-1
105,47,1,-1,-1
105,48,1,-1,-1
105,49,1,-1,-1
105,50,1,-1,-1
105,51,1,-1,-1
105,52,1,-1,-1
105,53,1,-1,-1
105,54,1,-1,-1
105,55,1,-1,-1
105,56,1,-1,-1
105,57,1,-1,-1
105,58,1,-1,-1
105,59,1,-1,-1
105,60,1,-1,-1
105,61,1,-1,-1
105,62,1,-1,-1
105,63,1,-1,-1
105,64,1,-1,-1
105,65,1,-1,-1
105,66,1,-1,-1
105,67,1,-1,-1
105,68,1,-1,-1
105,69,1,-1,-1
105,70,1,-1,-1
105,71,1,-1,-1
105,72,1,-1,-1
105,73,1,-1,-1
105,74,1,-1,-1
105,75,1,-1,-1
105,76,1,-1,-1
105,77,1,-1,-1
105,78,1,-1,-1
105,79,1,-1,-1
105,80,1,-1,-1
105,81,1,-1,-1
105,82,1,-1,-1
105,83,1,-1,-1
105,84,1,-1,-1
105,85,1,-1,-1
105,86,1,-1,-1
105,87,1,-1,-1
105,88,1,-1,-1
105,89,1,-1,-1
105,90,1,-1,-1
105,91,1,-1,-1
105,92,1,-1,-1
105,93,1,-1,-1
105,94,1,-1,-1
105,95,1,-1,-1
105,96,1,-1,-1
105,97,1,-1,-1
105,98,1,-1,-1
105,99,1,-1,-1
105,100,1,-1,-1
105,101,1,-1,-1
105,102,1,-1,-1
105,103,1,-1,-1
105,104,1,-1,-1
105,105,1,-1,-1
105,106,1,-1,-1
105,107,1,-1,-1
105,108,1,-1,-1
105,109,1,-1,-1
105,110,1,-1,-1
105,111,1,-1,-1
105,112,1,-1,-1
105,113,1,-1,-1
105,114,1,-1,-1
105,115,1,-1,-1
105,116,1,-1,-1
105,117,1,-1,-1
105,118,1,-1,-1
105,119,1,-1,-1
105,120,1,-1,-1
105,121,1,-1,-1
105,122,1,-1,-1
105,123,1,-1,-1
105,124,1,-1,-1
105,125,1,-1,-1
105,126,1,-1,-1
105,127,1,-1,-1
105,128,1,-1,-1
105,129,1,-1,-1
105,130,1,-1,-1
105,131,1,-1,-1
105,132,1,-1,-1
105,133,1,-1,-1
105,134,1,-1,-1
105,135,1,-1,-1
105,136,1,-1,-1
105,137,1,-1,-1
105,138,1,-1,-1
105,139,1,-1,-1
105,140,1,-1,-1
105,141,1,-1,-1
105,142,1,-1,-1
105,143,1,-1,-1
105,144,1,-1,-1
105,145,1,-1,-1
105,146,1,-1,-1
105,147,1,-1,-1
105,148,1,-1,-1
105,149,1,-1,-1
105,150,1,-1,-1
105,151,1,-1,-1
105,152,1,-1,-1
105,153,1,-1,-1
105,154,1,-1,-1
105,155,1,-1,-1
105,156,1,-1,-1
105,157,1,-1,-1
105,158,1,-1,-1
105,159,1,-1,-1
105,160,1,-1,-1
105,161,1,-1,-1
105,162,4,-1,-1
105,163,4,-1,-1
105,164,4,-1,-1
105,165,4,-1,-1
105,166,4,-1,-1
105,167,4,-1,-1
105,168,4,-1,-1
105,169,4,-1,-1
105,170,4,-1,-1
105,171,4,-1,-1
105,172,4,-1,-1
105,173,4,-1,-1
105,174,4,-1,-1
105,175,4,-1,-1
105,176,4,-1,-1
105,177,4,-1,-1
105,178,4,-1,-1
105,179,4,-1,-1
105,180,4,-1,-1
105,181,4,-1,-1
105,182,4,-1,-1
105,183,4,-1,-1
105,184,4,-1,-1
105,185,4,-1,-1
105,186,4,-1,-1
105,187,4,-1,-1
105,188,4,-1,-1
105,189,4,-1,-1
105,190,4,-1,-1
105,191,4,-1,-1
105,192,4,-1,-1
105,193,4,-1,-1
105,194,4,-1,-1
105,195,4,-1,-1
105,196,4,-1,-1
105,197,4,-1,-1
105,198,4,-1,-1
105,199,4,-1,-1
105,200,4,-1,-1
105,201,4,-1,-1
105,202,4,-1,-1
105,203,4,-1,-1
105,204,4,-1,-1
105,205,4,-1,-1
105,206,4,-1,-1
105,207,4,-1,-1
105,208,4,-1,-1
105,209,4,-1,-1
105,210,4,-1,-1
105,211,4,-1,-1
105,212,4,-1,-1
105,213,4,-1,-1
105,214,4,-1,-1
105,215,4,-1,-1
105,216,4,-1,-1
105,217,4,-1,-1
105,218,4,-1,-1
105,219,4,-1,-1
