phi,V,dV_dphi,lambda_eff,beta_lambda
1.000000000000e+002,7.648993592726e+004,2.590387240934e+003,3.059597437091e-003,-9.384203923139e-004
1.003797355925e+002,7.733086605747e+004,2.608015088466e+003,3.046692867248e-003,-9.363284786617e-004
1.008828911110e+002,7.845321413018e+004,2.631404407268e+003,3.029707157689e-003,-9.335744545818e-004
1.013885687070e+002,7.959049081410e+004,2.654946694298e+003,3.012764639315e-003,-9.308268261330e-004
1.018967810226e+002,8.074286144007e+004,2.678641758805e+003,2.995865206327e-003,-9.280855747425e-004
1.024075407630e+002,8.191049228589e+004,2.702489376084e+003,2.979008753254e-003,-9.253506819050e-004
1.029208606972e+002,8.309355055349e+004,2.726489286579e+003,2.962195174950e-003,-9.226221291821e-004
1.034367536583e+002,8.429220434498e+004,2.750641194967e+003,2.945424366592e-003,-9.198998982023e-004
1.039552325437e+002,8.550662263742e+004,2.774944769225e+003,2.928696223679e-003,-9.171839706606e-004
1.044763103152e+002,8.673697525636e+004,2.799399639683e+003,2.912010642032e-003,-9.144743283182e-004
1.050000000000e+002,8.798343284806e+004,2.824005398049e+003,2.895367517791e-003,-9.117709530023e-004
1.055263146902e+002,8.924616685035e+004,2.848761596420e+003,2.878766747417e-003,-9.090738266056e-004
1.060552675438e+002,9.052534946213e+004,2.873667746273e+003,2.862208227684e-003,-9.063829310863e-004
1.065868717847e+002,9.182115361145e+004,2.898723317435e+003,2.845691855687e-003,-9.036982484676e-004
1.071211407028e+002,9.313375292207e+004,2.923927737029e+003,2.829217528835e-003,-9.010197608375e-004
1.076580876551e+002,9.446332167857e+004,2.949280388405e+003,2.812785144848e-003,-8.983474503484e-004
1.081977260651e+002,9.581003478984e+004,2.974780610046e+003,2.796394601762e-003,-8.956812992171e-004
1.087400694240e+002,9.717406775102e+004,3.000427694452e+003,2.780045797923e-003,-8.930212897243e-004
1.092851312902e+002,9.855559660373e+004,3.026220887004e+003,2.763738631989e-003,-8.903674042142e-004
1.098329252904e+002,9.995479789465e+004,3.052159384804e+003,2.747473002925e-003,-8.877196250947e-004
1.103834651195e+002,1.013718486323e+005,3.078242335489e+003,2.731248810005e-003,-8.850779348365e-004
1.109367645409e+002,1.028069262422e+005,3.104468836031e+003,2.715065952811e-003,-8.824423159732e-004
1.114928373873e+002,1.042602085196e+005,3.130837931503e+003,2.698924331228e-003,-8.798127511013e-004
1.120516975603e+002,1.057318735812e+005,3.157348613824e+003,2.682823845449e-003,-8.771892228792e-004
1.126133590317e+002,1.072220998143e+005,3.183999820484e+003,2.666764395967e-003,-8.745717140274e-004
1.131778358429e+002,1.087310658237e+005,3.210790433235e+003,2.650745883581e-003,-8.719602073284e-004
1.137451421059e+002,1.102589503774e+005,3.237719276767e+003,2.634768209387e-003,-8.693546856260e-004
1.143152920033e+002,1.118059323491e+005,3.264785117350e+003,2.618831274784e-003,-8.667551318253e-004
1.148882997890e+002,1.133721906596e+005,3.291986661450e+003,2.602934981470e-003,-8.641615288923e-004
1.154641797882e+002,1.149579042148e+005,3.319322554325e+003,2.587079231438e-003,-8.615738598537e-004
1.160429463979e+002,1.165632518425e+005,3.346791378585e+003,2.571263926980e-003,-8.589921077968e-004
1.166246140873e+002,1.181884122256e+005,3.374391652730e+003,2.555488970685e-003,-8.564162558690e-004
1.172091973982e+002,1.198335638342e+005,3.402121829654e+003,2.539754265432e-003,-8.538462872774e-004
1.177967109451e+002,1.214988848538e+005,3.429980295131e+003,2.524059714396e-003,-8.512821852893e-004
1.183871694158e+002,1.231845531121e+005,3.457965366255e+003,2.508405221046e-003,-8.487239332308e-004
1.189805875720e+002,1.248907460022e+005,3.486075289868e+003,2.492790689138e-003,-8.461715144875e-004
1.195769802491e+002,1.266176404036e+005,3.514308240941e+003,2.477216022722e-003,-8.436249125040e-004
1.201763623569e+002,1.283654126003e+005,3.542662320939e+003,2.461681126134e-003,-8.410841107834e-004
1.207787488800e+002,1.301342381956e+005,3.571135556143e+003,2.446185904001e-003,-8.385490928870e-004
1.213841548781e+002,1.319242920245e+005,3.599725895944e+003,2.430730261233e-003,-8.360198424347e-004
1.219925954865e+002,1.337357480628e+005,3.628431211109e+003,2.415314103029e-003,-8.334963431039e-004
1.226040859160e+002,1.355687793329e+005,3.657249292004e+003,2.399937334872e-003,-8.309785786299e-004
1.232186414541e+002,1.374235578062e+005,3.686177846792e+003,2.384599862527e-003,-8.284665328053e-004
1.238362774647e+002,1.393002543031e+005,3.715214499592e+003,2.369301592044e-003,-8.259601894800e-004
1.244570093886e+002,1.411990383884e+005,3.744356788604e+003,2.354042429753e-003,-8.234595325607e-004
1.250808527443e+002,1.431200782639e+005,3.773602164201e+003,2.338822282265e-003,-8.209645460108e-004
1.257078231278e+002,1.450635406571e+005,3.802947986977e+003,2.323641056470e-003,-8.184752138500e-004
1.263379362134e+002,1.470295907069e+005,3.832391525769e+003,2.308498659538e-003,-8.159915201546e-004
1.269712077540e+002,1.490183918441e+005,3.861929955633e+003,2.293394998914e-003,-8.135134490565e-004
1.276076535814e+002,1.510301056693e+005,3.891560355786e+003,2.278329982322e-003,-8.110409847435e-004
1.282472896068e+002,1.530648918265e+005,3.921279707505e+003,2.263303517760e-003,-8.085741114587e-004
1.288901318211e+002,1.551229078718e+005,3.951084891993e+003,2.248315513499e-003,-8.061128135007e-004
1.295361962955e+002,1.572043091391e+005,3.980972688199e+003,2.233365878086e-003,-8.036570752230e-004
1.301854991814e+002,1.593092486007e+005,4.010939770601e+003,2.218454520340e-003,-8.012068810339e-004
1.308380567117e+002,1.614378767231e+005,4.040982706941e+003,2.203581349349e-003,-7.987622153962e-004
1.314938852001e+002,1.635903413196e+005,4.071097955930e+003,2.188746274473e-003,-7.963230628271e-004
1.321530010426e+002,1.657667873964e+005,4.101281864893e+003,2.173949205342e-003,-7.938894078979e-004
1.328154207170e+002,1.679673569957e+005,4.131530667385e+003,2.159190051853e-003,-7.914612352338e-004
1.334811607837e+002,1.701921890323e+005,4.161840480758e+003,2.144468724171e-003,-7.890385295134e-004
1.341502378865e+002,1.724414191261e+005,4.192207303675e+003,2.129785132728e-003,-7.866212754690e-004
