phi,V_solver,dV_solver,d2V_solver,V_full,dV_full,d2V_full
1.000000000000e+002,7.648993702463e+004,2.207587887062e+003,3.583658075063e+001,1.398993702463e+004,9.575878870615e+002,2.333658075063e+001
1.003922065907e+002,7.735857334237e+004,2.221896644418e+003,3.582792172357e+001,1.436735369143e+004,9.669940620338e+002,2.332792172357e+001
1.007859514415e+002,7.823626085734e+004,2.236259233723e+003,3.581750654742e+001,1.474996080754e+004,9.764348407045e+002,2.331750654742e+001
1.011812405856e+002,7.912307926696e+004,2.250675199642e+003,3.580581507625e+001,1.513780772675e+004,9.859096923224e+002,2.330581507625e+001
1.015780800797e+002,8.001910762877e+004,2.265144032688e+003,3.579182132578e+001,1.553094292454e+004,9.954180316921e+002,2.329182132578e+001
1.019764760045e+002,8.092442476698e+004,2.279665184779e+003,3.577600038268e+001,1.592941440266e+004,1.004959234723e+003,2.327600038268e+001
1.023764344643e+002,8.183911057367e+004,2.294238117098e+003,3.575832807804e+001,1.633327098849e+004,1.014532686294e+003,2.325832807804e+001
1.027779615876e+002,8.276324528640e+004,2.308862273249e+003,3.573877999236e+001,1.674256161073e+004,1.024137753403e+003,2.323877999236e+001
1.031810635268e+002,8.369690948112e+004,2.323537078936e+003,3.571733146225e+001,1.715733529042e+004,1.033773784851e+003,2.321733146225e+001
1.035857464583e+002,8.464018530127e+004,2.338261986274e+003,3.569447775415e+001,1.757764236804e+004,1.043440155545e+003,2.319447775415e+001
1.039920165829e+002,8.559315329188e+004,2.353036359050e+003,3.566915782759e+001,1.800353133576e+004,1.053136151764e+003,2.316915782759e+001
1.043998801257e+002,8.655589449695e+004,2.367859549137e+003,3.564186200352e+001,1.843505093276e+004,1.062861047566e+003,2.314186200352e+001
1.048093433363e+002,8.752849077059e+004,2.382730907422e+003,3.561256461039e+001,1.887225045444e+004,1.072614115718e+003,2.311256461039e+001
1.052204124885e+002,8.851102426555e+004,2.397649765244e+003,3.558123971774e+001,1.931517923895e+004,1.082394609137e+003,2.308123971774e+001
1.056330938811e+002,8.950357742440e+004,2.412615434052e+003,3.554786113701e+001,1.976388665636e+004,1.092201760538e+003,2.304786113701e+001
1.060473938372e+002,9.050623461522e+004,2.427627263057e+003,3.551294005605e+001,2.021842374229e+004,1.102034840092e+003,2.301294005605e+001
1.064633187051e+002,9.151907748800e+004,2.442684474980e+003,3.547537912167e+001,2.067883855231e+004,1.111892991166e+003,2.297537912167e+001
1.068808748578e+002,9.254218905099e+004,2.457786310704e+003,3.543568438753e+001,2.114518023623e+004,1.121775374982e+003,2.293568438753e+001
1.073000686932e+002,9.357565281169e+004,2.472931998581e+003,3.539382860053e+001,2.161749817696e+004,1.131681139917e+003,2.289382860053e+001
1.077209066344e+002,9.461955251802e+004,2.488120745266e+003,3.534978423660e+001,2.209584172965e+004,1.141609412336e+003,2.284978423660e+001
1.081433951298e+002,9.567397220124e+004,2.503351737209e+003,7.159488926472e+001,2.258026026250e+004,1.151559298087e+003,5.909488926472e+001
1.085675406529e+002,9.673899800982e+004,2.518624203800e+003,3.525557402687e+001,2.307080498845e+004,1.161529945639e+003,2.275557402687e+001
1.089933497027e+002,9.781471239592e+004,2.533937216612e+003,3.520480083956e+001,2.356752314957e+004,1.171520345328e+003,2.270480083956e+001
1.094208288037e+002,9.890119995706e+004,2.549289891717e+003,3.515172625082e+001,2.407046385655e+004,1.181529531671e+003,2.265172625082e+001
1.098499845058e+002,9.999854547267e+004,2.564681321556e+003,3.509632134005e+001,2.457967612309e+004,1.191556515233e+003,2.259632134005e+001
1.102808233850e+002,1.011068338912e+005,2.580110574526e+003,3.503855690278e+001,2.509520885077e+004,1.201600282214e+003,2.253855690278e+001
1.107133520426e+002,1.022261507266e+005,2.595576708427e+003,3.497897293205e+001,2.561711122353e+004,1.211659807895e+003,2.247897293205e+001
1.111475771061e+002,1.033565826483e+005,2.611078790075e+003,3.491640559154e+001,2.614543329490e+004,1.221734076249e+003,2.241640559154e+001
1.115835052289e+002,1.044982132588e+005,2.626615753149e+003,3.485138939697e+001,2.668022176402e+004,1.231821937788e+003,2.235138939697e+001
1.120211430905e+002,1.056511280462e+005,2.642186565729e+003,3.478389396604e+001,2.722152492558e+004,1.241922277098e+003,2.228389396604e+001
1.124604973967e+002,1.068154125970e+005,2.657790169734e+003,3.471388862176e+001,2.776939088000e+004,1.252033952275e+003,2.221388862176e+001
1.129015748794e+002,1.079911525797e+005,2.673425480476e+003,3.464134238020e+001,2.832386751559e+004,1.262155794484e+003,2.214134238020e+001
1.133443822971e+002,1.091784345567e+005,2.689091413525e+003,3.456681264582e+001,2.888500331725e+004,1.272286634811e+003,2.206681264582e+001
1.137889264347e+002,1.103773451009e+005,2.704786855218e+003,3.448909555594e+001,2.945284648122e+004,1.282425274784e+003,2.198909555594e+001
1.142352141036e+002,1.115879684831e+005,2.720510587037e+003,3.440874282380e+001,3.002744259999e+004,1.292570410742e+003,2.190874282380e+001
1.146832521422e+002,1.128103905382e+005,2.736261413350e+003,3.432572222941e+001,3.060883852620e+004,1.302720761572e+003,2.182572222941e+001
1.151330474156e+002,1.140446970985e+005,2.752038109605e+003,3.424000123854e+001,3.119708080348e+004,1.312875016910e+003,2.174000123854e+001
1.155846068156e+002,1.152909739750e+005,2.767839421854e+003,3.415154699893e+001,3.179221564544e+004,1.323031836659e+003,2.165154699893e+001
