phi_0,status,S_kin,S_pot,max_r,step_cnt
3.194775e+002,UNDERSHOOT,7.574116e+000,1.488896e+004,3.276090e-001,115
3.767559e+002,UNDERSHOOT,7.883234e+002,2.749283e+004,3.667828e-001,121
4.443037e+002,UNDERSHOOT,2.562832e+003,2.144059e+004,3.504753e-001,136
5.239619e+002,UNDERSHOOT,4.762378e+003,1.652011e+004,3.278836e-001,153
6.179019e+002,UNDERSHOOT,7.051421e+003,1.419933e+004,3.204393e-001,171
7.286843e+002,UNDERSHOOT,9.228032e+003,7.889353e+003,2.934884e-001,189
8.593285e+002,UNDERSHOOT,1.119591e+004,2.050730e+003,2.702881e-001,207
1.013396e+003,UNDERSHOOT,1.294836e+004,1.600971e+003,2.645819e-001,226
1.195085e+003,UNDERSHOOT,1.441159e+004,-3.706053e+003,2.353294e-001,244
1.409350e+003,UNDERSHOOT,1.567206e+004,-4.291998e+003,2.290238e-001,263
1.662029e+003,UNDERSHOOT,1.670920e+004,-5.415834e+003,2.205024e-001,282
1.960010e+003,UNDERSHOOT,1.753995e+004,-6.097489e+003,2.126675e-001,301
2.311416e+003,UNDERSHOOT,1.824427e+004,-6.830819e+003,2.061405e-001,320
2.725825e+003,UNDERSHOOT,1.881464e+004,-7.247831e+003,2.003541e-001,339
3.214533e+003,UNDERSHOOT,1.927271e+004,-7.910307e+003,1.928505e-001,358
3.790860e+003,UNDERSHOOT,1.968150e+004,-8.383487e+003,1.855986e-001,377
4.470515e+003,UNDERSHOOT,2.002758e+004,-9.139769e+003,1.742262e-001,396
5.272024e+003,UNDERSHOOT,2.033224e+004,-9.777923e+003,1.597081e-001,415
6.217234e+003,UNDERSHOOT,2.063134e+004,-1.003972e+004,1.543462e-001,435
7.331908e+003,UNDERSHOOT,2.091935e+004,-1.020198e+004,1.522099e-001,456
8.646430e+003,UNDERSHOOT,2.122599e+004,-1.043792e+004,1.490592e-001,478
1.019663e+004,UNDERSHOOT,2.154364e+004,-1.063731e+004,1.471035e-001,502
1.202476e+004,UNDERSHOOT,2.190197e+004,-1.090892e+004,1.465418e-001,529
1.418066e+004,UNDERSHOOT,2.228932e+004,-1.120230e+004,1.464027e-001,561
1.672308e+004,UNDERSHOOT,2.273443e+004,-1.150999e+004,1.554182e-001,603
1.972132e+004,UNDERSHOOT,2.323105e+004,-1.179580e+004,1.955303e-001,670
2.325711e+004,UNDERSHOOT,2.380046e+004,-1.215436e+004,5.925427e-001,896
2.742683e+004,OVERSHOOT,2.428408e+004,-1.243244e+004,4.675293e-002,2730
3.234413e+004,OVERSHOOT,2.482455e+004,-1.272239e+004,2.781737e-002,2605
3.814304e+004,OVERSHOOT,2.546116e+004,-1.308418e+004,1.945751e-002,2529
4.498163e+004,OVERSHOOT,2.618696e+004,-1.347991e+004,1.444305e-002,2471
5.304629e+004,OVERSHOOT,2.702037e+004,-1.393153e+004,1.108660e-002,2422
6.255684e+004,OVERSHOOT,2.798605e+004,-1.447085e+004,8.701955e-003,2380
7.377253e+004,OVERSHOOT,2.908352e+004,-1.507368e+004,6.909310e-003,2341
8.699904e+004,OVERSHOOT,3.034628e+004,-1.575451e+004,5.550584e-003,2305
1.025969e+005,OVERSHOOT,3.179151e+004,-1.654755e+004,4.490014e-003,2270
1.209913e+005,OVERSHOOT,3.347836e+004,-1.748743e+004,3.658462e-003,2238
1.426836e+005,OVERSHOOT,3.542473e+004,-1.856285e+004,2.991312e-003,2206
1.682650e+005,OVERSHOOT,3.770302e+004,-1.981889e+004,2.457461e-003,2175
1.984329e+005,OVERSHOOT,4.040195e+004,-2.131441e+004,2.024547e-003,2144
2.340095e+005,OVERSHOOT,4.363096e+004,-2.311919e+004,1.672503e-003,2114
2.759646e+005,OVERSHOOT,4.754923e+004,-2.532459e+004,1.385246e-003,2083
3.254416e+005,OVERSHOOT,5.239728e+004,-2.807830e+004,1.150063e-003,2052
3.837894e+005,OVERSHOOT,5.854393e+004,-3.160773e+004,9.565953e-004,2021
4.525982e+005,OVERSHOOT,6.657915e+004,-3.628298e+004,7.971211e-004,1989
5.337435e+005,OVERSHOOT,7.750988e+004,-4.268584e+004,6.654281e-004,1955
6.294373e+005,OVERSHOOT,9.335602e+004,-5.223273e+004,5.571536e-004,1920
7.422877e+005,OVERSHOOT,1.183554e+005,-6.763882e+004,4.681094e-004,1881
8.753709e+005,OVERSHOOT,1.644635e+005,-9.708526e+004,3.959229e-004,1837
1.032314e+006,OVERSHOOT,2.849451e+005,-1.797086e+005,3.414942e-004,1781
1.217396e+006,UNDERSHOOT,1.336149e-027,-1.984263e-015,1.642851e-009,1
