r,phi,dphi,V,dV
5.070654e-008,1.972132e+004,-2.092153e+002,-8.369993e+013,-1.650401e+010
2.391267e-007,1.972132e+004,-9.866373e+002,-8.369993e+013,-1.650401e+010
6.202332e-007,1.972132e+004,-2.559083e+003,-8.369992e+013,-1.650400e+010
1.608725e-006,1.972132e+004,-6.637599e+003,-8.369985e+013,-1.650399e+010
4.172619e-006,1.972129e+004,-1.721617e+004,-8.369936e+013,-1.650392e+010
1.082270e-005,1.972108e+004,-4.465346e+004,-8.369606e+013,-1.650345e+010
2.807129e-005,1.971970e+004,-1.158046e+005,-8.367389e+013,-1.650024e+010
7.280970e-005,1.971039e+004,-3.001056e+005,-8.352491e+013,-1.647868e+010
1.888496e-004,1.964800e+004,-7.738534e+005,-8.253102e+013,-1.633462e+010
4.898273e-004,1.923756e+004,-1.930450e+006,-7.620700e+013,-1.540671e+010
1.073282e-003,1.759000e+004,-3.555466e+006,-5.363186e+013,-1.187076e+010
1.509754e-003,1.589608e+004,-4.113213e+006,-3.606954e+013,-8.844030e+009
1.873638e-003,1.437452e+004,-4.200473e+006,-2.429031e+013,-6.593410e+009
2.204510e-003,1.300212e+004,-4.067867e+006,-1.635635e+013,-4.913698e+009
2.518068e-003,1.176252e+004,-3.824243e+006,-1.100771e+013,-3.659281e+009
2.822582e-003,1.064212e+004,-3.527598e+006,-7.402292e+012,-2.722694e+009
3.123152e-003,9.629085e+003,-3.211333e+006,-4.973179e+012,-2.023822e+009
3.423275e-003,8.712909e+003,-2.895233e+006,-3.337779e+012,-1.502736e+009
3.725553e-003,7.884199e+003,-2.590964e+006,-2.237697e+012,-1.114556e+009
4.032048e-003,7.134520e+003,-2.305136e+006,-1.498418e+012,-8.256627e+008
4.344487e-003,6.456280e+003,-2.041147e+006,-1.002124e+012,-6.108836e+008
4.664378e-003,5.842631e+003,-1.800334e+006,-6.693200e+011,-4.513787e+008
4.993092e-003,5.287396e+003,-1.582724e+006,-4.464120e+011,-3.330579e+008
5.331912e-003,4.784992e+003,-1.387524e+006,-2.972966e+011,-2.453924e+008
5.682070e-003,4.330380e+003,-1.213460e+006,-1.976763e+011,-1.805209e+008
